source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002395-Sample-1	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100609_Velos1_TaGe_SA_293_1.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
PXD002395-Sample-2	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100609_Velos1_TaGe_SA_GAMG_5.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
PXD002395-Sample-3	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100611_Velos1_TaGe_SA_Hela_2.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
PXD002395-Sample-4	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100611_Velos1_TaGe_SA_Hela_3.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
PXD002395-Sample-5	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100611_Velos1_TaGe_SA_HepG2_3.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
PXD002395-Sample-6	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100611_Velos1_TaGe_SA_HepG2_5.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
PXD002395-Sample-7	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100614_Velos1_TaGe_SA_K562_6.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
PXD002395-Sample-8	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100616_Velos1_TaGe_SA_MCF7_5.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
PXD002395-Sample-9	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100616_Velos1_TaGe_SA_MCF7_6.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
PXD002395-Sample-10	homo sapiens	lung, brain, cervix, liver, blood, prostate, breast, colon, bone	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous	cancer cells, noncancerous cells	A549, GAMG, HeLa, HepG2, Jurkat, K562, LnCap, MCF7, RKO, U2OS, HEK293	not available	33	male	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	8 ppm	11 ppm	orbitrap	20100616_Velos1_TaGe_SA_RKO_1.raw	v1.1.0	HAMLET-agentic v0.1.0	lung carcinoma, glioblastoma, cervical carcinoma, hepatoma, acute t-cell leukemia, chronic myeloid leukemia, prostate carcinoma, mammary carcinoma, colon carcinoma, osteosarcoma, noncancerous
