source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD015957-Sample-1	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_EV1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-2	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_EV2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-3	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_EV3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-4	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_IFN1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-5	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_IFN2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-6	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_IFN3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-7	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_NT1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-8	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_NT2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-9	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_NT3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-10	homo sapiens	skin	metastatic melanoma	melanoma cell	108T, 12T, A375	not available	18	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (108T, 12T, A375), condition (OE, EV, IFNγ, NT), immunoproteasome subunit expression level (high vs low), response to immune-checkpoint inhibitors (responders vs non-responders)	6 ppm	8 ppm	orbitrap	108T_OE1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
