field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	34	0	0.0	0.0	0.0
characteristics[cell type]	Biological	34	34	0	0.0	0.0	0.0
characteristics[disease]	Biological	34	34	0	0.0	0.0	0.0
characteristics[organism part]	Biological	34	34	34	1.0	1.0	1.0
characteristics[organism]	Biological	34	34	34	1.0	1.0	1.0
characteristics[sex]	Biological	0	34	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	34	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	34	34	34	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	34	34	34	1.0	1.0	1.0
factor value[disease]	ExperimentalDesign	34	34	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	34	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	34	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	34	34	34	1.0	1.0	1.0
comment[dissociation method]	Technical	34	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	34	34	34	1.0	1.0	1.0
comment[instrument]	Technical	34	34	34	1.0	1.0	1.0
comment[label]	Technical	34	34	34	1.0	1.0	1.0
comment[modification parameters]	Technical	68	68	68	1.0	1.0	1.0
comment[ms2 mass analyzer]	Technical	34	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	34	34	34	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	34	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	34	0	0	0.0	0.0	0.0
technology type	Technical	34	0	0	0.0	0.0	0.0
