source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012307-Sample-1	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR2_young_11_1.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-2	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR3_old_14_4.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-3	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR1_old_14_1.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-4	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR1_old_14_4.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-5	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR1_young_11_2.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-6	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR2_young_11_3.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-7	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR2_young_11_2.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-8	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR1_old_14_2.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-9	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR3_young_11_4.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-10	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_ECM_old_14_1.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-11	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 11	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_ECM_young_11_3.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-12	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 12	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_ECM_young_11_1.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-13	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 13	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_ECM_old_14_4.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-14	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 14	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR2_young_11_4.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-15	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 15	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR3_young_11_2.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-16	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 16	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR3_old_14_2.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-17	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 17	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_ECM_old_14_3.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-18	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 18	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_ECM_young_11_2.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-19	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 19	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR3_young_11_3.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-20	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 20	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR2_old_14_3.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-21	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 21	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR3_old_14_1.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-22	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 22	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR2_old_14_4.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-23	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 23	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR1_young_11_4.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-24	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 24	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR2_old_14_1.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
PXD012307-Sample-25	Mus musculus	lung	aging	8	not available	3 months, 22 months, 24 months	run 25	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Lys-C;AC=MS:1001309	4	1	not available	age (young 3 months, old 24 months)	not available	20131023_EXQ8_HeSc_SA_FR1_young_11_1.raw	v1.1.0	HAMLET-agentic v0.1.0	aging
