"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD023258","","strict","Biological","disease","disease","normal","True"
"PXD023258","","strict","Biological","organ","organ","embryo","True"
"PXD023258","","strict","Biological","species","species","C. elegans","True"
"PXD023258","","strict","ExperimentalDesign","factor_value","factor_value","normal","True"
"PXD023258","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD023258","","strict","Technical","alkylation_reagent","alkylation_reagent","iodoacetamide","True"
"PXD023258","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD023258","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD023258","","strict","Technical","instrument","instrument","Q Exactive Plus","True"
"PXD023258","","strict","Technical","label","label","label free","True"
"PXD023258","","strict","Technical","mass_analyzer","mass_analyzer","Orbitrap","True"
"PXD023258","","strict","Technical","modification","modification","phosphorylated residue | Iodoacetamide derivative (CDEHKMSTUY,N-term) | Oxidation or Hydroxylation | Diethylation, analogous to Dimethylation | Oxidation or Hydroxylation (CDEFHIKLMNPQRSTUVWY,C-term) | Diethylation, analogous to Dimethylation (K,N-term)","True"
"PXD023258","","strict","Technical","reduction_reagent","reduction_reagent","dithiothreitol","True"
