sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state	source records
1	PXD013432-Sample-1	source_name	source name	PXD013432-Sample-1	derived								legacy_derivation	derived	[]
1	PXD013432-Sample-1	organism	characteristics[organism]	Vairimorpha necatrix	biological_agent	In the present study, the cryo-electron microscopy structure of the ribosome from the microsporidium Vairimorpha necatrix is presented, which illustrates how genome compaction has resulted in the smallest known eukaryotic cytoplasmic ribosome.	AGREE	1.0	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": ""Vairimorpha necatrix"", ""metadata"": {""source_field"": ""species""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""Vairimorpha necatrix""}]"
1	PXD013432-Sample-1	cell_type	characteristics[cell type]	spores	biological_agent	Ribosomes were liberated by bead beating 100 mg of spores for 30 s in a 2-ml conical microfuge tube with 0.5 g of 0.5 mm zirconium beads in buffer A	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""cell_type""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""spores""}]"
1	PXD013432-Sample-1	age	characteristics[age]	fourth and fifth instar	biological_agent	V. necatrix spores were produced by feeding approximately 100,000 spores to fourth and fifth instar corn earworm (H. zea) larvae grown on a defined diet (Benzon Research).	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""age""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""fourth and fifth instar""}]"
1	PXD013432-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived	[]
1	PXD013432-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived	[]
1	PXD013432-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_path"": ""runAssessor.files.PXD013432/MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.mzML.spectra_stats.acquisition_type""}, ""scope"": ""assay"", ""source"": ""runassessor"", ""value"": ""DDA""}]"
1	PXD013432-Sample-1	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""label-free""}]"
1	PXD013432-Sample-1	instrument	comment[instrument]	NT=Orbitrap Fusion Lumos;AC=MS:1002732	runassessor				high	False	False		source_precedence:runassessor	derived	"[{""cv_accession"": ""MS:1002732"", ""cv_name"": ""Orbitrap Fusion Lumos"", ""metadata"": {""source_path"": ""runAssessor.files.PXD013432/MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.mzML.instrument_model.name""}, ""scope"": ""assay"", ""source"": ""runassessor"", ""value"": ""Orbitrap Fusion Lumos""}, {""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""Orbitrap Fusion Lumos""}]"
1	PXD013432-Sample-1	dissociation	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422	runassessor								source_precedence:runassessor	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_path"": ""runAssessor.files.PXD013432/MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.mzML.spectra_stats.fragmentation_type""}, ""scope"": ""assay"", ""source"": ""runassessor"", ""value"": ""HR_HCD""}]"
1	PXD013432-Sample-1	factor_value	factor value[experimental design]	species (Vairimorpha necatrix)	experimental_design_agent	The purified ribosome sample was dried and resuspended in 8M urea/10mM dithiothreitol/0.1 M ammonium bicarbonate.	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""factor_value""}, ""scope"": ""study"", ""source"": ""experimental_design_agent"", ""value"": ""species (Vairimorpha necatrix)""}]"
1	PXD013432-Sample-1	modification	comment[modification parameters]	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	technical_agent;ptm_shepherd	Iodoacetamide derivative | Iodoacetamide derivative | Iodoacetamide derivative							normalized_source_union	derived	"[{""fraction_modified"": null, ""raw_stem"": null, ""scope"": ""study"", ""source"": ""technical_agent"", ""source_path"": ""TechnicalAgent.ptm.resolved[0]"", ""source_value"": ""Iodoacetamide derivative""}, {""fraction_modified"": null, ""raw_stem"": null, ""scope"": ""study"", ""source"": ""technical_agent"", ""source_path"": ""TechnicalAgent.modification.resolved[0]"", ""source_value"": ""Iodoacetamide derivative""}, {""fraction_modified"": 0.113035, ""raw_stem"": ""MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a"", ""scope"": ""assay"", ""source"": ""ptm_shepherd"", ""source_path"": ""modification_site_fractions.dda_closed_search.per_sample_files.MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.data[0]"", ""source_value"": ""Iodoacetamide derivative""}]"
1	PXD013432-Sample-1	modification	comment[modification parameters]	NT=Replacement of 3 protons by iron;AC=UNIMOD:1870;MT=?;TA=DE,C-term	technical_agent;ptm_shepherd	Replacement of 3 protons by iron | Replacement of 3 protons by iron | Replacement of 3 protons by iron							normalized_source_union	derived	"[{""fraction_modified"": null, ""raw_stem"": null, ""scope"": ""study"", ""source"": ""technical_agent"", ""source_path"": ""TechnicalAgent.ptm.resolved[1]"", ""source_value"": ""Replacement of 3 protons by iron""}, {""fraction_modified"": null, ""raw_stem"": null, ""scope"": ""study"", ""source"": ""technical_agent"", ""source_path"": ""TechnicalAgent.modification.resolved[1]"", ""source_value"": ""Replacement of 3 protons by iron""}, {""fraction_modified"": 0.056378, ""raw_stem"": ""MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a"", ""scope"": ""assay"", ""source"": ""ptm_shepherd"", ""source_path"": ""modification_site_fractions.dda_closed_search.per_sample_files.MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.data[1]"", ""source_value"": ""Replacement of 3 protons by iron""}]"
1	PXD013432-Sample-1	modification	comment[modification parameters]	NT=Replacement of 2 protons by iron;AC=UNIMOD:952;MT=?;TA=DE,C-term	technical_agent;ptm_shepherd	Replacement of 2 protons by iron | Replacement of 2 protons by iron | Replacement of 2 protons by iron							normalized_source_union	derived	"[{""fraction_modified"": null, ""raw_stem"": null, ""scope"": ""study"", ""source"": ""technical_agent"", ""source_path"": ""TechnicalAgent.ptm.resolved[2]"", ""source_value"": ""Replacement of 2 protons by iron""}, {""fraction_modified"": null, ""raw_stem"": null, ""scope"": ""study"", ""source"": ""technical_agent"", ""source_path"": ""TechnicalAgent.modification.resolved[2]"", ""source_value"": ""Replacement of 2 protons by iron""}, {""fraction_modified"": 0.051369, ""raw_stem"": ""MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a"", ""scope"": ""assay"", ""source"": ""ptm_shepherd"", ""source_path"": ""modification_site_fractions.dda_closed_search.per_sample_files.MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.data[2]"", ""source_value"": ""Replacement of 2 protons by iron""}]"
1	PXD013432-Sample-1	reduction_reagent	comment[reduction reagent]	dithiothreitol	derived								legacy_derivation	derived	[]
1	PXD013432-Sample-1	ms2_analyzer	comment[ms2 mass analyzer]	Orbitrap	technical_agent								source_precedence:technical_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""Orbitrap""}]"
1	PXD013432-Sample-1	data_file	comment[data file]	MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.raw	derived								legacy_derivation	derived	[]
1	PXD013432-Sample-1	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived	[]
1	PXD013432-Sample-1	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived	[]
