source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005207-Sample-1	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_Phospho_11_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-2	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_Phospho_5_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-3	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_Phospho_9_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-4	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_Phospho_iTRAQ4_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-5	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_Phospho_iTRAQ5_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-6	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_Phospho_iTRAQ8_Re_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-7	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	LTQ Orbitrap Velos	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_Phospho_iTRAQ_12_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-8	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	LTQ Orbitrap Velos	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_Phospho_iTRAQ_4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-9	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	LTQ Orbitrap Velos	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_Phospho_iTRAQ_5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-10	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	LTQ Orbitrap Velos	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_TP_01_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-11	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	LTQ Orbitrap Velos	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_TP_09_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-12	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_TP_10_R4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-13	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_TP_1_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-14	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_TP_2_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-15	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_TP_3_R4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-16	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_TP_5_R4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-17	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_TP_7_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-18	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_TP_8_R4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-19	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 19	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_phospho_12_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-20	p. falciparum	blood	malaria	erythrocytes	5	not available	not available	run 20	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	7 ppm	15 ppm	orbitrap	CDPK1_phospho_13_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
