"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD023258","BiologicalAgent","species","species","C. elegans","True"
"PXD023258","BiologicalAgent","tissue","organ","oocytes","True"
"PXD023258","BiologicalAgent","cell_type","cell_type","oocytes","True"
"PXD023258","BiologicalAgent","disease_state","disease","","False"
"PXD023258","BiologicalAgent","sample_source","material_type","embryo lysates","True"
"PXD023258","BiologicalAgent","age","age","L3/L4 stage","True"
"PXD023258","BiologicalAgent","anatomic_site_tumor","anatomic_site_tumor","","False"
"PXD023258","BiologicalAgent","BMI","BMI","","False"
"PXD023258","BiologicalAgent","cell_line","cell_line","","False"
"PXD023258","BiologicalAgent","sex","sex","","False"
"PXD023258","BiologicalAgent","strain","strain","N2","True"
"PXD023258","BiologicalAgent","material_type","material_type","embryo lysates","True"
"PXD023258","BiologicalAgent","developmental_stage","developmental_stage","","False"
"PXD023258","TechnicalAgent","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD023258","TechnicalAgent","alkylation_reagent","alkylation_reagent","IAA (iodoacetamide)","True"
"PXD023258","TechnicalAgent","alkylation_concentration","alkylation_concentration","","False"
"PXD023258","TechnicalAgent","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD023258","TechnicalAgent","collision_energy","collision_energy","","False"
"PXD023258","TechnicalAgent","enrichment_method","enrichment_method","immunoprecipitated... using a GFP nanobody","True"
"PXD023258","TechnicalAgent","fractionation_method","fractionation","","False"
"PXD023258","TechnicalAgent","fragmentation_method","fragmentation","","False"
"PXD023258","TechnicalAgent","instrument","instrument","Q Exactive Plus","True"
"PXD023258","TechnicalAgent","ionization_type","ionization_type","","False"
"PXD023258","TechnicalAgent","labeling","label","label-free","True"
"PXD023258","TechnicalAgent","reduction_reagent","reduction_reagent","DTT","True"
"PXD023258","TechnicalAgent","reduction_concentration","reduction_concentration","","False"
"PXD023258","ExperimentalDesignAgent","biological_replicate","replicates","pooled C. elegans embryos | 2","True"
"PXD023258","ExperimentalDesignAgent","technical_replicate","technical_replicates","","False"
"PXD023258","ExperimentalDesignAgent","experimental_design","experimental_design","GFP-tagged BUB-1 vs untagged BUB-1 immunoprecipitation","True"
"PXD023258","ExperimentalDesignAgent","factor_value","factor_value","BUB-1 tagging (GFP-tagged, untagged)","True"
"PXD023258","ExperimentalDesignAgent","number_of_fractions","fractions","1","True"
"PXD023258","ExperimentalDesignAgent","number_of_technical_replicates","technical_replicates","","False"
"PXD023258","ExperimentalDesignAgent","number_of_biological_replicates","replicates","pooled C. elegans embryos | 2","True"
"PXD023258","ExperimentalDesignAgent","number_of_samples","number_of_samples","2","True"
