source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD032098-Sample-1	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_139.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD032098-Sample-2	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_140.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD032098-Sample-3	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_141.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD032098-Sample-4	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_142.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD032098-Sample-5	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_143.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD032098-Sample-6	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_144.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD032098-Sample-7	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_145.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD032098-Sample-8	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_146.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD032098-Sample-9	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_149.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD032098-Sample-10	Saccharomyces cerevisiae	not available	not available	1	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	not available	10 ppm	-0.343479 ppm	orbitrap	400m/z-1500m/z	F1905_sailerc_150.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
