source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013765-Sample-1	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	DP-CB2_CYT_1_1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013765-Sample-2	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	DP-CB2_CYT_1_2.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013765-Sample-3	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	DP-CB2_NE_1_2.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013765-Sample-4	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	DP-CB_SN_1_1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013765-Sample-5	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	DP-C_CYT_1_1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013765-Sample-6	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	DP-C_NE_2_2.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013765-Sample-7	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	DP-C_SN_3_1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013765-Sample-8	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	M12-CB3_NE_1_1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013765-Sample-9	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	M12-CB3_NE_2_1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013765-Sample-10	Homo sapiens	skin, brain	melanoma	melanoma cells	DP-C, DP-CB, M12-C, M12-CB, M16-C, M16-CB, YDFR-C, YDFR-CB	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	QExactive Orbitrap MS, Q Exactive HF	NT=Lys-C;AC=MS:1001309	3	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	metastatic variant (cutaneous, cerebellar); donor (DP, M12, M16, YDFR)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	orbitrap	M12-CB_SN_1_1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
