category,agentic_field,canonical_field,safe_override_field,final_sdrf_columns,used_in_current_sdrf_builder,pride_cache_field_path,pride_present_in_sampled_n,sample_size,sample_source,notes,ann_metadata_labels
biological,species,organism,species,characteristics[organism],yes,response[].organisms,100,100,HamletPXDs.csv,Primary organism label,Organism
biological,tissue,organism_part,organ,characteristics[organism part]; factor value[organism part]*,yes,response[].organismParts OR response[].sampleAttributes[key.name~organism part|tissue],61,100,HamletPXDs.csv,factor value[organism part] only when variable across samples,OrganismPart
biological,disease_state,disease,disease,characteristics[disease]; factor value[disease],yes,response[].diseases,23,100,HamletPXDs.csv,,Disease
biological,cell_type,cell_type,cell_type,characteristics[cell type]*,conditional,response[].sampleAttributes[key.name~cell type],0,100,HamletPXDs.csv,Column emitted only if any value present,CellType
biological,cell_line,cell_line,cell_line,characteristics[cell line]*; characteristics[cellosaurus accession]*,conditional,response[].sampleAttributes[key.name~cell line],0,100,HamletPXDs.csv,Cellosaurus accession currently filled as not available,CellLine
biological,sex,sex,sex,characteristics[sex],yes,response[].sampleAttributes[key.name~sex|gender],0,100,HamletPXDs.csv,,Sex
biological,age,age,age,characteristics[age],yes,response[].sampleAttributes[key.name~age],0,100,HamletPXDs.csv,,Age
biological,sample_source,material_type,material_type,(not currently emitted as dedicated SDRF column),no,response[].sampleAttributes[key.name~sample type|material type],0,100,HamletPXDs.csv,Safe override exists but builder has no dedicated output column,Specimen
biological,anatomic_site_tumor,anatomic_site_tumor,,(not mapped),no,response[].projectDescription (free text),0,100,HamletPXDs.csv,,TumorSite
biological,BMI,BMI,,(not mapped),no,response[].projectDescription (free text),0,100,HamletPXDs.csv,,
biological,strain,strain,,(not mapped),no,response[].projectDescription (free text),0,100,HamletPXDs.csv,,Strain
biological,developmental_stage,developmental_stage,,(not mapped),no,response[].projectDescription (free text),0,100,HamletPXDs.csv,,DevelopmentalStage
biological,ethnicity,ethnicity,,(not mapped),no,response[].projectDescription (free text),0,100,HamletPXDs.csv,,
technical,acquisition_method,acquisition_method,acquisition_method,comment[proteomics data acquisition method],yes,response[].experimentTypes / response[].projectTags,100,100,HamletPXDs.csv,Currently sourced mainly from runAssessor/detected params,AcquisitionMethod
technical,instrument,instrument,instrument,comment[instrument],yes,response[].instruments,100,100,HamletPXDs.csv,,Instrument
technical,labeling,label,label,comment[label],yes,response[].quantificationMethods,42,100,HamletPXDs.csv,,Label
technical,fragmentation_method,fragmentation,,comment[dissociation method],yes,response[].sampleProcessingProtocol / response[].dataProcessingProtocol,75,100,HamletPXDs.csv,,FragmentationMethod
technical,cleavage_agent,cleavage_agent,,comment[cleavage agent details],yes,response[].sampleProcessingProtocol,83,100,HamletPXDs.csv,Currently protocol-derived in builder,CleavageAgent
technical,enrichment_method,enrichment_method,,characteristics[enrichment process]*,conditional,response[].sampleProcessingProtocol,38,100,HamletPXDs.csv,Via llm_extracted_metadata fallback,EnrichmentMethod
