Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	Characteristics[disease]	Characteristics[phenotype]	assay name	comment[label]	comment[fraction identifier]	comment[MS2 mass analyzer]	comment[instrument]	comment[file uri]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type	sampleChecksum	sampleAccession
PXD002619-Sample 1	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 1	NT=SILAC;AC=MS:1002611	2	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM1_2.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM1_2.raw	cell	e3413ae3271c0a411335974b5ddd922db1f0dd9600c5e44316f7eefbf0d68a48	SAMEA7712045
PXD002619-Sample 1	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 2	NT=SILAC;AC=MS:1002611	3	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM1_3.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM1_3.raw	cell	e3413ae3271c0a411335974b5ddd922db1f0dd9600c5e44316f7eefbf0d68a48	SAMEA7712045
PXD002619-Sample 1	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 3	NT=SILAC;AC=MS:1002611	4	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM1_4.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM1_4.raw	cell	e3413ae3271c0a411335974b5ddd922db1f0dd9600c5e44316f7eefbf0d68a48	SAMEA7712045
PXD002619-Sample 1	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 4	NT=SILAC;AC=MS:1002611	5	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM1_5.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM1_5.raw	cell	e3413ae3271c0a411335974b5ddd922db1f0dd9600c5e44316f7eefbf0d68a48	SAMEA7712045
PXD002619-Sample 1	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 5	NT=SILAC;AC=MS:1002611	6	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM1_6.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM1_6.raw	cell	e3413ae3271c0a411335974b5ddd922db1f0dd9600c5e44316f7eefbf0d68a48	SAMEA7712045
PXD002619-Sample 2	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 6	NT=SILAC;AC=MS:1002611	1	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM2_1.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM2_1.raw	cell	afe43cb73320dfeb8513f07a8735e43d92f37fcfacc883211e0986a10c810b1d	SAMEA7712046
PXD002619-Sample 2	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 7	NT=SILAC;AC=MS:1002611	2	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM2_2_110612101420.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM2_2_110612101420.raw	cell	afe43cb73320dfeb8513f07a8735e43d92f37fcfacc883211e0986a10c810b1d	SAMEA7712046
PXD002619-Sample 2	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 8	NT=SILAC;AC=MS:1002611	3	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM2_3_110612155437.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM2_3_110612155437.raw	cell	afe43cb73320dfeb8513f07a8735e43d92f37fcfacc883211e0986a10c810b1d	SAMEA7712046
PXD002619-Sample 2	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 9	NT=SILAC;AC=MS:1002611	4	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM2_4_110612200610.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM2_4_110612200610.raw	cell	afe43cb73320dfeb8513f07a8735e43d92f37fcfacc883211e0986a10c810b1d	SAMEA7712046
PXD002619-Sample 2	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 10	NT=SILAC;AC=MS:1002611	5	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM2_5.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM2_5.raw	cell	afe43cb73320dfeb8513f07a8735e43d92f37fcfacc883211e0986a10c810b1d	SAMEA7712046
