source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012986-Sample-1	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04026.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-2	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04028.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-3	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04030.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-4	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04032.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-5	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04034.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-6	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04036.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-7	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04038.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-8	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04040.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-9	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04042.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-10	mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	6 ppm	7 ppm	orbitrap	QExHF04044.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
