field,category,annotator_a,annotator_b,pair_category,n_shared_docs,kappa
species,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.0
tissue,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.3231197771587743
disease_state,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.847457627118644
cell_type,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.0
cell_line,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.45217391304347815
sex,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.11956521739130452
age,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.2602739726027398
sample_source,biological,SingleHuman,GPT,GPT vs. any human annotator,27,-2.9976021664879274e-15
anatomic_site_tumor,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.0
BMI,biological,SingleHuman,GPT,GPT vs. any human annotator,27,
strain,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.23824451410658293
developmental_stage,biological,SingleHuman,GPT,GPT vs. any human annotator,27,0.0
ethnicity,biological,SingleHuman,GPT,GPT vs. any human annotator,27,
acquisition_method,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.18181818181818196
instrument,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.0
labeling,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.06896551724137938
fragmentation_method,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.24096385542168688
cleavage_agent,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.0
enrichment_method,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.22047244094488191
fractionation_method,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.2602739726027398
reduction_reagent,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.23343848580441642
alkylation_reagent,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.5573770491803277
collision_energy,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.5994065281899108
ionization_type,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.2325581395348837
mass_analyzer,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.23343848580441642
alkylation_concentration,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.027444253859348167
reduction_concentration,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.027444253859348167
