source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD032098-Sample-1	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_139.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
PXD032098-Sample-2	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_140.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
PXD032098-Sample-3	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_141.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
PXD032098-Sample-4	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_142.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
PXD032098-Sample-5	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_143.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
PXD032098-Sample-6	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_144.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
PXD032098-Sample-7	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_145.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
PXD032098-Sample-8	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_146.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
PXD032098-Sample-9	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_149.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
PXD032098-Sample-10	saccharomyces cerevisiae	not available	drg1-18 mutant	1	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	4	2	NT=collision-induced dissociation;AC=MS:1000133	crosslinker (DSS, BS3, none)	8 ppm	-0.343479 ppm	orbitrap	F1905_sailerc_150.raw	v1.1.0	HAMLET-agentic v0.1.0	drg1-18 mutant
