field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	60	0	0	0.0	0.0	0.0
characteristics[disease]	Biological	60	0	0	0.0	0.0	0.0
characteristics[organism part]	Biological	60	60	0	0.0	0.0	0.0
characteristics[organism]	Biological	60	60	0	0.0	0.0	0.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	60	60	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	60	60	1	0.016666666666666666	0.016666666666666666	0.016666666666666666
comment[technical replicate]	ExperimentalDesign	60	60	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	60	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	60	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	60	60	60	1.0	1.0	1.0
comment[dissociation method]	Technical	0	0	0			
comment[instrument]	Technical	60	60	60	1.0	1.0	1.0
comment[label]	Technical	60	60	60	1.0	1.0	1.0
comment[modification parameters]	Technical	0	120	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	60	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	0	0	0			
comment[reduction reagent]	Technical	60	0	0	0.0	0.0	0.0
technology type	Technical	60	0	0	0.0	0.0	0.0
