field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	48	48	48	1.0	1.0	1.0
characteristics[organism part]	Biological	48	48	48	1.0	1.0	1.0
characteristics[organism]	Biological	48	48	48	1.0	1.0	1.0
characteristics[sex]	Biological	0	48	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	48	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	48	48	4	0.08333333333333333	0.08333333333333333	0.08333333333333333
comment[technical replicate]	ExperimentalDesign	48	48	24	0.5	0.5	0.5
factor value[disease]	ExperimentalDesign	48	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	48	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	48	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	48	48	48	1.0	1.0	1.0
comment[dissociation method]	Technical	48	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	48	48	48	1.0	1.0	1.0
comment[instrument]	Technical	48	48	48	1.0	1.0	1.0
comment[label]	Technical	0	192	0	0.0	0.0	0.0
comment[modification parameters]	Technical	144	96	96	0.666667	1.0	0.8000000000000002
comment[ms2 mass analyzer]	Technical	48	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	48	48	48	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	48	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	48	0	0	0.0	0.0	0.0
technology type	Technical	48	0	0	0.0	0.0	0.0
