field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	0	0	0			
characteristics[organism part]	Biological	0	0	0			
characteristics[organism]	Biological	1460	1460	1460	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	1460	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	1460	1460	1460	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	1460	1460	2	0.0013698630136986301	0.0013698630136986301	0.0013698630136986301
factor value[disease]	ExperimentalDesign	0	0	0			
factor value[experimental design]	ExperimentalDesign	1460	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	1460	0	0.0	0.0	0.0
comment[dissociation method]	Technical	0	2920	0	0.0	0.0	0.0
comment[instrument]	Technical	1460	1460	1460	1.0	1.0	1.0
comment[label]	Technical	1460	1460	1460	1.0	1.0	1.0
comment[modification parameters]	Technical	0	2920	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	1460	2190	1460	1.0	0.75	0.8333335
comment[proteomics data acquisition method]	Technical	0	0	0			
technology type	Technical	1460	0	0	0.0	0.0	0.0
