field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	30	30	0	0.0	0.0	0.0
characteristics[disease]	Biological	30	30	0	0.0	0.0	0.0
characteristics[organism part]	Biological	30	60	30	1.0	0.5	0.666667
characteristics[organism]	Biological	30	30	30	1.0	1.0	1.0
characteristics[sex]	Biological	30	30	30	1.0	1.0	1.0
characteristics[biological replicate]	ExperimentalDesign	30	30	4	0.13333333333333333	0.13333333333333333	0.13333333333333333
comment[fraction identifier]	ExperimentalDesign	30	30	5	0.16666666666666666	0.16666666666666666	0.16666666666666666
comment[technical replicate]	ExperimentalDesign	30	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	30	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	30	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	30	0	0.0	0.0	0.0
comment[dissociation method]	Technical	30	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	30	0	0	0.0	0.0	0.0
comment[instrument]	Technical	30	30	30	1.0	1.0	1.0
comment[label]	Technical	30	30	30	1.0	1.0	1.0
comment[ms2 mass analyzer]	Technical	30	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	30	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	30	0	0	0.0	0.0	0.0
technology type	Technical	30	0	0	0.0	0.0	0.0
