source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005207-Sample-1	P. falciparum	blood	malaria	schizont	4	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_Phospho_11_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-2	P. falciparum	blood	malaria	schizont	4	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_Phospho_5_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-3	P. falciparum	blood	malaria	schizont	4	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_Phospho_9_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-4	P. falciparum	blood	malaria	schizont	4	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_Phospho_iTRAQ4_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-5	P. falciparum	blood	malaria	schizont	4	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_Phospho_iTRAQ5_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-6	P. falciparum	blood	malaria	schizont	4	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_Phospho_iTRAQ8_Re_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-7	P. falciparum	blood	malaria	schizont	4	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_Phospho_iTRAQ_12_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-8	P. falciparum	blood	malaria	schizont	4	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_Phospho_iTRAQ_4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-9	P. falciparum	blood	malaria	schizont	4	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_Phospho_iTRAQ_5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-10	P. falciparum	blood	malaria	schizont	4	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_01_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
