source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012143-Sample-1	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW22_A2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-2	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW34_B8.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-3	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW26_B4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-4	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW26_A4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-5	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW20_A1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-6	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW28_A5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-7	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW29_B5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-8	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW24_A3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-9	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW31_A6.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-10	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW23_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
