source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008840-Sample-1	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC028N_DGC_83300_E000756_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-2	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC038N_DGC_83427_E000886_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-3	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC038T_DGC_83426_E000885_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-4	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC039T_DGC_83436_E000887_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-5	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC044N_DGC_83574_E001173_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-6	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC050N_DGC_83631_E001041_F3_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-7	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC052T_DGC_83632_E001042_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-8	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC056T_DGC_83811_E001184_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-9	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC062N_DGC_83854_E001193_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-10	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC065N_DGC_83872_E001199_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
