source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008108-Sample-1	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
PXD008108-Sample-2	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
PXD008108-Sample-3	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
PXD008108-Sample-4	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
PXD008108-Sample-5	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
PXD008108-Sample-6	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
PXD008108-Sample-7	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aWT.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
PXD008108-Sample-8	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aWT.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
PXD008108-Sample-9	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aWT.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
PXD008108-Sample-10	Mus musculus	embryonic fibroblasts	disease free	embryonic fibroblasts	HEK293	not available	6	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	96	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=Variable;TA=C	20 ppm	0.9 Da	orbitrap	yuechen_lerber_20170906_aWT.raw	v1.1.0	HAMLET-agentic v0.1.0	disease free
