source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD055950-Sample-1	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10551.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD055950-Sample-2	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10551.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD055950-Sample-3	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10551.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD055950-Sample-4	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10551.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD055950-Sample-5	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10551.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD055950-Sample-6	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10551.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD055950-Sample-7	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10552.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD055950-Sample-8	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10552.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD055950-Sample-9	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10552.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD055950-Sample-10	Homo sapiens	kidney	normal	epithelial cell	293	not available	18	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (REEP1wt, REEP1L107P, parental control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	50-ppm	0.03 Da	orbitrap	xb10552.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
