"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD010603","","strict","Biological","age","age","aged","True"
"PXD010603","","strict","Biological","cell_type","cell_type","neuron","True"
"PXD010603","","strict","Biological","disease","disease","alzheimer’s disease, healthy","True"
"PXD010603","","strict","Biological","organ","organ","brain","True"
"PXD010603","","strict","Biological","species","species","Homo sapiens","True"
"PXD010603","","strict","ExperimentalDesign","factor_value","factor_value","anatomical region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (neurofibrillary tangles) | alzheimer’s disease, healthy","True"
"PXD010603","","strict","ExperimentalDesign","fractions","fractions","12","True"
"PXD010603","","strict","ExperimentalDesign","replicates","replicates","3","True"
"PXD010603","","strict","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD010603","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD010603","","strict","Technical","alkylation_reagent","alkylation_reagent","chloroacetamide","True"
"PXD010603","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD010603","","strict","Technical","instrument","instrument","Orbitrap Fusion Lumos","True"
"PXD010603","","strict","Technical","label","label","label free","True"
"PXD010603","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD010603","","strict","Technical","modification","modification","Carbamidomethyl (C)","True"
"PXD010603","","strict","Technical","precursor_mass_tolerance","precursor_mass_tolerance","6 ppm","True"
"PXD010603","","strict","Technical","reduction_reagent","reduction_reagent","tris(2-carboxyethyl)phosphine","True"
