field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	1477	0	0	0.0	0.0	0.0
characteristics[disease]	Biological	1477	1477	0	0.0	0.0	0.0
characteristics[organism part]	Biological	1477	1477	1477	1.0	1.0	1.0
characteristics[organism]	Biological	1477	1477	1477	1.0	1.0	1.0
characteristics[sex]	Biological	1477	0	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	1477	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	1477	1477	77	0.052132701421800945	0.052132701421800945	0.052132701421800945
comment[technical replicate]	ExperimentalDesign	1477	1477	1434	0.970886932972241	0.970886932972241	0.970886932972241
factor value[disease]	ExperimentalDesign	1477	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	1477	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	1477	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	1477	1477	1477	1.0	1.0	1.0
comment[dissociation method]	Technical	1448	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	1477	1477	1477	1.0	1.0	1.0
comment[instrument]	Technical	1477	1477	1477	1.0	1.0	1.0
comment[label]	Technical	0	1477	0	0.0	0.0	0.0
comment[modification parameters]	Technical	5908	7385	5908	1.0	0.8	0.888889
comment[ms2 mass analyzer]	Technical	1477	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	1477	1477	1477	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	1477	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	1477	0	0	0.0	0.0	0.0
technology type	Technical	1477	0	0	0.0	0.0	0.0
