"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD032086","","strict","Biological","age","age","E12.5","True"
"PXD032086","","strict","Biological","cell_line","cell_line","MEF","True"
"PXD032086","","strict","Biological","cell_type","cell_type","fibroblasts","True"
"PXD032086","","strict","Biological","disease","disease","normal","True"
"PXD032086","","strict","Biological","organ","organ","brain, retina, heart, lung, kidney","True"
"PXD032086","","strict","Biological","species","species","Homo sapiens, Mus musculus","True"
"PXD032086","","strict","ExperimentalDesign","factor_value","factor_value","genotype (wild-type, DNPEP-KO, ENPEP-KO, DNPEP/ENPEP-KO) | normal","True"
"PXD032086","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD032086","","strict","Technical","alkylation_reagent","alkylation_reagent","iodoacetamide","True"
"PXD032086","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD032086","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD032086","","strict","Technical","instrument","instrument","Thermo Q Exactive Plus, Q Exactive HF","True"
"PXD032086","","strict","Technical","label","label","label free","True"
"PXD032086","","strict","Technical","mass_analyzer","mass_analyzer","Orbitrap","True"
"PXD032086","","strict","Technical","modification","modification","Iodoacetamide derivative (CDEHKMSTUY,N-term) | ubiquitinylation residue (CKST) | Acetylation (CHKRSTY,N-term)","True"
"PXD032086","","strict","Technical","reduction_reagent","reduction_reagent","tris(2-carboxyethyl)phosphine","True"
