"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","repository_origin","inference","error_category","issue_summary","corrected_value"
"PXD037001","","strict","Biological","cell_line","AC16","","low","False","","False","False","True","False","","","hallucinated","TYPE CHECK: The candidate value ""AC16"" is a named immortalized cell line, which matches the required category.
SOURCE CHECK: The value ""AC16"" is mentioned in the paper; however, it is used for in vitro functional tests (ISO treatment, overexpression, and knockdown of lnc4012) and not as the source of the material analyzed by mass spectrometry. The MS experiment specifically used ""binding complexes generated by sense-lnc4012 pull-down"" using ""30 μg of whole-cell protein lysates"" (which, in the context of the human ortholog study, refers to the lnc4012-overexpressing cardiomyocytes, but the text does not explicitly state that AC16 cells were the source of these lysates for the MS; it only mentions AC16 for the functional assays). Even if AC16 were the source, the primary MS experiment described is an RNA pull-down assay to identify binding proteins, and the text explicitly links the AC16 cells to the ""in vitro"" functional tests.
TRUTH CHECK: The AC16 cell line is used in the study, but it is not the primary biological material processed for the proteomics/MS identification of the 1655 proteins; the text describes the pull-down using ""whole-cell protein lysates"" from ""lnc4012-overexpressing cardiomyocytes,"" but the AC16 section is focused on the functional markers (ANP, BNP, etc.).
COMPLETENESS CHECK: The full set contains only this value, but it is incorrect based on the experimental context rule.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD037001","","strict","Biological","cell_type","cardiomyocyte","cardiomyocyte","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value ""cardiomyocyte"" is a cell type, which matches the field definition.
SOURCE CHECK: The value comes from the MS experiment context; the paper describes RNA pull-down assays using biotinylated lnc4012 probes in ""lnc4012-overexpressing cardiomyocytes"" (which were AC16 human cardiomyocytes) to identify binding proteins by mass spectrometry.
TRUTH CHECK: The value is factually correct as the proteins were captured from cardiomyocyte lysates.
COMPLETENESS CHECK: The full set contains ""cardiomyocyte"", which accurately describes the cell type of the material analyzed by mass spectrometry in this study.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD037001","","strict","Biological","organ","heart","heart","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value ""heart"" is a valid organ/tissue type.
SOURCE CHECK: The value comes from the MS experiment context; the paper describes RNA pull-down assays using biotinylated lncRNA probes incubated with ""whole-cell protein lysates"" (which, in the context of the human lnc4012 experiment, were derived from ""lnc4012-overexpressing cardiomyocytes"" and in the murine lnc9456 experiment from cardiomyocyte lysates), and the overall study focuses on the heart.
TRUTH CHECK: The proteins identified by mass spectrometry were captured from cardiomyocyte lysates, which are the primary cells of the heart.
COMPLETENESS CHECK: The full set contains ""heart"", which accurately describes the organ of origin for the biological material analyzed by MS.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD037001","","strict","Biological","species","Homo sapiens, Mus musculus","Homo sapiens, Mus musculus","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value contains organism names, which matches the species field definition.
SOURCE CHECK: Both species are used in the MS experiment context: ""A total of 2113 proteins that bind to lnc9456 [mouse] were identified"" and ""The binding complexes generated by sense-lnc4012 pull-down [human] identified 1655 proteins by mass spectrometry.""
TRUTH CHECK: The paper explicitly describes mass spectrometry identification of proteins binding to mouse lnc9456 and human lnc4012.
COMPLETENESS CHECK: The full set covers both the mouse and human proteomics experiments described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD037001","","strict","ExperimentalDesign","factor_value","lnc4012 expression (control, overexpression)","lnc4012 expression (control, overexpression)","medium","False","","True","False","False","False","","","incomplete","TYPE CHECK: The candidate value describes an experimental variable (expression level of a transcript) and its conditions, which fits the definition of a factor_value.
SOURCE CHECK: The value is derived from the experiment where lnc4012 was overexpressed in AC16 cells and analyzed (though the MS part of the paper specifically refers to the RNA pull-down of lnc4012, the overall study design includes these expression contrasts).
TRUTH CHECK: The paper explicitly describes the use of ""overexpression of lnc4012 in AC16 cells"" compared to ""control (OE-Vector)"".
COMPLETENESS CHECK: The full set contains only this value; however, the paper also describes a ""knockdown"" condition for lnc4012 and a ""knockout"" for lnc9456, as well as ""HHQ16 treatment"" vs ""control solvent"". The current set is partial.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: medium
CORRECTED_VALUE: lnc4012 expression (control, overexpression, knockdown), lnc9456 expression (control, overexpression, knockout), HHQ16 treatment (control solvent, HHQ16)","lnc4012 expression (control, overexpression, knockdown), lnc9456 expression (control, overexpression, knockout), HHQ16 treatment (control solvent, HHQ16)"
"PXD037001","","strict","Technical","acquisition_method","data-dependent acquisition","","low","False","","False","False","False","True","runassessor","","runassessor_only","TYPE CHECK: The candidate value ""data-dependent acquisition"" is a valid acquisition scheme name.
SOURCE CHECK: The paper mentions that proteins were identified by mass spectrometry following RNA pull-down assays, but it does not explicitly state the acquisition method (e.g., DDA or DIA).
TRUTH CHECK: There is no mention of ""data-dependent acquisition"" or any other specific acquisition scheme in the provided text.
COMPLETENESS CHECK: The full set contains only this value, which is not supported by the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD037001","","strict","Technical","fragmentation","beam-type collision-induced dissociation","","low","False","","False","False","False","True","runassessor","","runassessor_only","TYPE CHECK: The candidate value describes a fragmentation method, which is the correct category for this field.
SOURCE CHECK: The provided paper text does not mention ""beam-type collision-induced dissociation"" or any other fragmentation method.
TRUTH CHECK: The value is not present in the text and cannot be inferred.
COMPLETENESS CHECK: The full set of extracted values is not supported by the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD037001","","strict","Technical","instrument","Orbitrap Fusion","","low","False","","False","False","False","True","runassessor","","runassessor_only","TYPE CHECK: The candidate value is a mass spectrometer model, which matches the field definition.
SOURCE CHECK: The paper mentions that RNA pull-down eluates were ""eluted for mass spectrometry identification"" and performed by ""Shanghai Dianxi Biotechnology Co., Ltd."", but the text does not specify the instrument model used.
TRUTH CHECK: The value ""Orbitrap Fusion"" is not mentioned anywhere in the provided text.
COMPLETENESS CHECK: The full set contains a value that is not supported by the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD037001","","strict","Technical","label","label free","label free","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value ""label free"" belongs to the correct category for the label field.
SOURCE CHECK: The paper describes an RNA pull-down assay followed by mass spectrometry identification of proteins, but it does not mention any isobaric, metabolic, or chemical labeling reagents (such as TMT, SILAC, or dimethyl).
TRUTH CHECK: Since no labeling method is mentioned, ""label-free"" is the correct safe default.
COMPLETENESS CHECK: The full set contains only this value, which accurately reflects the lack of labeling described in the text.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD037001","","strict","Technical","mass_analyzer","Orbitrap","","low","False","","False","False","False","True","runassessor","","runassessor_only","TYPE CHECK: The candidate value ""Orbitrap"" is a valid mass analyzer type.
SOURCE CHECK: The paper mentions that RNA pull-down eluates were ""eluted for mass spectrometry identification"" and performed by ""Shanghai Dianxi Biotechnology Co., Ltd."", but it does not specify the instrument model or mass analyzer used.
TRUTH CHECK: There is no mention of an Orbitrap or any other specific mass analyzer in the provided text.
COMPLETENESS CHECK: The value is not present in the text, so the set is not based on the source.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
