field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell line]	Biological	98	98	98	1.0	1.0	1.0
characteristics[cell type]	Biological	98	0	0	0.0	0.0	0.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	0	0	0			
characteristics[organism part]	Biological	98	98	98	1.0	1.0	1.0
characteristics[organism]	Biological	98	98	98	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	98	98	30	0.30612244897959184	0.30612244897959184	0.30612244897959184
comment[fraction identifier]	ExperimentalDesign	98	98	98	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	98	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	0	0	0			
factor value[experimental design]	ExperimentalDesign	98	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	98	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	98	98	98	1.0	1.0	1.0
comment[dissociation method]	Technical	98	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	98	0	0	0.0	0.0	0.0
comment[instrument]	Technical	98	98	98	1.0	1.0	1.0
comment[label]	Technical	98	98	98	1.0	1.0	1.0
comment[modification parameters]	Technical	98	294	98	1.0	0.33333300000000005	0.5
comment[ms2 mass analyzer]	Technical	98	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	98	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	98	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	98	0	0	0.0	0.0	0.0
technology type	Technical	98	0	0	0.0	0.0	0.0
