source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005539-Sample-1	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	SKEML28_F4.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-2	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	SKMEL28_F2.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-3	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	A375_F7.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-4	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	C32TG_F2.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-5	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	C32TG_F8.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-6	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	A375_F3.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-7	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	SKMEL28_F2a.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-8	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	A375_F8.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-9	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	C32TG_F7.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-10	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	A375_F4.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
