"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD005554","BiologicalAgent","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","TYPE CHECK:        The candidate value is a scientific name for a species, which matches the field definition.
SOURCE CHECK:      The text explicitly mentions the use of the ""SwissProt Homo sapiens database"" for protein identification and describes samples from ""Patient samples"" (humans).
TRUTH CHECK:       The value is factually correct as the study used human tissue samples.
COMPLETENESS CHECK: The full set contains the only species involved in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD005554","BiologicalAgent","organ","breast","breast","medium","False","","True","False","False","TYPE CHECK:        The candidate value ""breast"" refers to an organ/tissue, which matches the field definition.
SOURCE CHECK:      The paper mentions ""triple-negative breast cancer and adjacent mammary tissue"" and ""breast cancer and adjacent breast tissue samples"".
TRUTH CHECK:       The value is factually correct as the study analyzed breast tissue.
COMPLETENESS CHECK: The full set of extracted values only contains ""breast"", but the paper also explicitly analyzes ""omentum"" (omental metastasis and normal omentum). Therefore, the set is incomplete.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""breast"", ""omentum""]","breast, omentum"
"PXD005554","BiologicalAgent","cell_type","tumor cells","tumor cells","high","False","","True","True","False","TYPE CHECK: The candidate value ""tumor cells"" describes a cell type/lineage.
SOURCE CHECK: The text explicitly mentions ""TNBC and HGSOC samples are described as containing tumor cells"".
TRUTH CHECK: The value is factually correct based on the paper's description of the samples.
COMPLETENESS CHECK: The full set contains only ""tumor cells""; however, the paper describes the samples as ""containing tumor cells and desmoplasia"" (which implies stromal/fibroblast cells) and mentions ""adjacent mammary tissue"" and ""normal omentum"", but does not explicitly name other specific primary cell types.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD005554","BiologicalAgent","disease","triple-negative breast cancer","triple-negative breast cancer","medium","False","","True","False","False","TYPE CHECK:        The candidate value is a disease state, which matches the field definition.
SOURCE CHECK:      The value ""triple-negative breast cancer"" is explicitly mentioned in the abstract and methods.
TRUTH CHECK:       The value is factually correct as one of the diseased tissue types studied.
COMPLETENESS CHECK: The full set of extracted values is missing ""high-grade serous ovarian cancer"" and the ""normal"" controls mentioned in the text.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""triple-negative breast cancer"", ""high-grade serous ovarian cancer"", ""normal""]","triple-negative breast cancer, high-grade serous ovarian cancer, normal"
"PXD005554","BiologicalAgent","material_type","women","","low","True","","False","False","False","TYPE CHECK:        The candidate value ""women"" refers to the donor/subject, not a broad material class (e.g., tissue, biofluid).
SOURCE CHECK:      The word ""women"" is present in the text, but it describes the donors, not the material type.
TRUTH CHECK:       The material used was ""tissue"" (specifically ""frozen whole tissue or tumor sections""), not ""women"".
COMPLETENESS CHECK:The full set contains only ""women"", which is incorrect and fails to capture the actual material type described in the paper.
TYPE_CORRECT:      no
CORRECT_TYPE_NAME: material_type
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   [""tissue""]","tissue"
"PXD005554","BiologicalAgent","anatomic_site_tumor","breast","breast","medium","False","","True","False","False","TYPE CHECK:        The candidate value ""breast"" describes an anatomical location of a tumor, which matches the field definition.
SOURCE CHECK:      The paper explicitly mentions ""triple-negative breast cancer"" and ""adjacent mammary tissue,"" from which ""breast"" is directly inferable.
TRUTH CHECK:       The value is factually correct based on the study's use of breast cancer samples.
COMPLETENESS CHECK: The full set of extracted values only contains ""breast"", but the paper also describes ""omental metastasis from high-grade serous ovarian cancer"" and ""normal omentum"", meaning the omentum/ovary site is missing.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""breast"", ""omentum""]","breast, omentum"
"PXD005554","BiologicalAgent","sex","female","female","high","False","","True","True","False","TYPE CHECK:        The candidate value ""female"" is a valid category for the sex field.
SOURCE CHECK:      The methods section states ""Patient samples were kindly donated by women"", which directly implies the sex is female.
TRUTH CHECK:       The value is factually correct based on the text.
COMPLETENESS CHECK: The full set of extracted values correctly identifies the sex of the donors described in the paper.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD005554","TechnicalAgent","instrument","Q Exactive","Q Exactive","high","False","","True","True","False","TYPE CHECK: The candidate value is a mass spectrometer model, which matches the field definition.
SOURCE CHECK: The text explicitly mentions ""using a QExactive mass spectrometer (Thermo)"".
TRUTH CHECK: The value is factually correct based on the provided text.
COMPLETENESS CHECK: The full set contains the only mass spectrometer mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD005554","TechnicalAgent","label","label-free","label-free","high","False","","True","True","False","TYPE CHECK:        The candidate value ""label-free"" is the correct category for the label field.
SOURCE CHECK:      No isobaric or metabolic labeling methods (like TMT or SILAC) are mentioned in the text; therefore, ""label-free"" is a safe default.
TRUTH CHECK:       The experimental description (relative quantification based on precursor ion intensities) is consistent with a label-free approach.
COMPLETENESS CHECK: The full set contains ""label-free"", which accurately describes the labeling scheme for this study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD005554","ExperimentalDesignAgent","replicates","2 patients per cancer type","2 patients per cancer type | 8","high","False","","True","True","False","TYPE CHECK:        The candidate value describes the number of biological replicates, but it is phrased as a description rather than a numeric count.
SOURCE CHECK:      The text states ""n = 2 for each sample type"" and ""women with high-grade serous ovarian cancer (HGSOC; n = 2) or triple-negative breast cancer (TNBC; n = 2)"".
TRUTH CHECK:       The value ""2 patients per cancer type"" is factually correct based on the text.
COMPLETENESS CHECK: The full set includes ""2 patients per cancer type"" and ""8"". The ""8"" is likely a miscalculation of total samples (2 patients x 2 cancer types x 2 conditions [normal/tumor] = 8), but the biological replicate count per group is 2.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
