source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD060120-Sample-1	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD060120-Sample-2	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD060120-Sample-3	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD060120-Sample-4	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD060120-Sample-5	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD060120-Sample-6	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD060120-Sample-7	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD060120-Sample-8	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD060120-Sample-9	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD060120-Sample-10	Homo sapiens	umbilical vein	normal	endothelial cells, fibroblasts	HUVEC	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131N	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Dimethylation of proline residue;AC=UNIMOD:529;MT=?;TA=P	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
