source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD030715-Sample-1	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
PXD030715-Sample-2	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
PXD030715-Sample-3	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
PXD030715-Sample-4	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
PXD030715-Sample-5	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
PXD030715-Sample-6	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
PXD030715-Sample-7	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
PXD030715-Sample-8	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
PXD030715-Sample-9	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
PXD030715-Sample-10	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120, HEK-293T	not available	not available	male and female	8–20 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=?;TA=CHK	NT=Phosphorylation;MT=?	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	15 mmu	dithiothreitol	iodoacetamide	Orbitrap	nCE: 33%	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.1	glioblastoma
