paper_id,source,mode,annotation_type,extracted_value,verdict_run1,value_correct_run1,hallucination_run1,error_category_run1,verdict_run2,value_correct_run2,hallucination_run2,error_category_run2,verdict_run3,value_correct_run3,hallucination_run3,error_category_run3,consensus_verdict,consensus_value_correct,consensus_hallucination,consensus_error_category,n_agree_verdict,n_total_verdict,n_agree_category,n_total_category,unanimous,unanimous_category
PXD001856,hamlet_harmonized,inference,acquisition_method,DDA,high,True,False,inferred,high,True,False,inferred,high,True,False,inferred,high,True,False,inferred,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,age,"20y, 27y, 39y, 40y",high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,alkylation_reagent,iodoacetamide,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,cell_line,ES04,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,cell_type,mesenchymal stem cells,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,cleavage_agent,"Lys-C, trypsin",high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,collision_energy,25,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,developmental_stage,adult,medium,True,False,inferred,high,True,False,inferred,high,True,False,inferred,high,True,False,inferred,2,3,3,3,False,True
PXD001856,hamlet_harmonized,inference,disease,normal,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,inferred,high,True,False,correct_explicit,3,3,2,3,True,False
PXD001856,hamlet_harmonized,inference,experimental_design,Shotgun proteomics,low,False,False,type_mismatch,low,False,False,meti_only,low,False,False,meti_only,low,False,False,meti_only,3,3,2,3,True,False
PXD001856,hamlet_harmonized,inference,factor_value,ESC vs ESC-MSC vs BM-MSC,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,fractionation,in-solution isoelectric focusing,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,fractions,12,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
PXD001856,hamlet_harmonized,inference,fragmentation,HCD,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,high,True,False,correct_explicit,3,3,3,3,True,True
