source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD019113-Sample-1	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_01_AB_DIA_139.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-2	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_01_phos_DIA_113.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-3	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_03_AB_DIA_141.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-4	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_04_phos_DIA_111.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-5	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_05_AB_DIA_144.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-6	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_05_phos_DIA_112.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-7	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_06_AB_DIA_145.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-8	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_06_phos_DIA_113.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-9	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_07_phos_DDA_122.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-10	chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	3	female	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Exploris 480	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection); time (0, 2, 4, 8, 12, 24 h)	8.1 ppm	15 ppm	orbitrap	LP1_08_AB_DDA_146.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
