field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	46	46	0	0.0	0.0	0.0
characteristics[organism part]	Biological	46	46	46	1.0	1.0	1.0
characteristics[organism]	Biological	46	46	46	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	46	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	46	46	1	0.021739130434782608	0.021739130434782608	0.021739130434782608
comment[technical replicate]	ExperimentalDesign	46	46	46	1.0	1.0	1.0
factor value[disease]	ExperimentalDesign	46	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	46	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	46	0	0.0	0.0	0.0
comment[dissociation method]	Technical	43	46	43	0.9347826086956522	0.9347826086956522	0.9347826086956522
comment[fragment mass tolerance]	Technical	46	46	46	1.0	1.0	1.0
comment[instrument]	Technical	46	46	46	1.0	1.0	1.0
comment[label]	Technical	46	46	46	1.0	1.0	1.0
comment[modification parameters]	Technical	0	92	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	46	46	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	46	46	46	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	46	0	0	0.0	0.0	0.0
technology type	Technical	46	0	0	0.0	0.0	0.0
