field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	42	0	0.0	0.0	0.0
characteristics[cell line]	Biological	141	42	0	0.0	0.0	0.0
characteristics[cell type]	Biological	141	42	42	0.2978723404255319	0.2978723404255319	0.2978723404255319
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	141	141	141	1.0	1.0	1.0
characteristics[organism part]	Biological	141	141	141	1.0	1.0	1.0
characteristics[organism]	Biological	141	141	141	1.0	1.0	1.0
characteristics[sex]	Biological	0	42	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	141	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	141	141	141	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	141	141	71	0.5035460992907801	0.5035460992907801	0.5035460992907801
factor value[disease]	ExperimentalDesign	141	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	141	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	141	282	141	1.0	0.5	0.666667
comment[dissociation method]	Technical	0	141	0	0.0	0.0	0.0
comment[instrument]	Technical	141	141	141	1.0	1.0	1.0
comment[label]	Technical	141	141	141	1.0	1.0	1.0
comment[modification parameters]	Technical	141	564	141	1.0	0.25	0.4
comment[ms2 mass analyzer]	Technical	141	141	141	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	0	0	0			
technology type	Technical	141	0	0	0.0	0.0	0.0
