field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	103	0	0	0.0	0.0	0.0
characteristics[cell type]	Biological	103	0	0	0.0	0.0	0.0
characteristics[disease]	Biological	103	103	48	0.46601941747572817	0.46601941747572817	0.46601941747572817
characteristics[organism part]	Biological	103	103	0	0.0	0.0	0.0
characteristics[organism]	Biological	103	103	103	1.0	1.0	1.0
characteristics[sex]	Biological	103	103	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	103	103	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	103	103	11	0.10679611650485436	0.10679611650485436	0.10679611650485436
comment[technical replicate]	ExperimentalDesign	103	103	64	0.6213592233009708	0.6213592233009708	0.6213592233009708
factor value[disease]	ExperimentalDesign	103	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	103	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	103	103	103	1.0	1.0	1.0
comment[dissociation method]	Technical	103	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	103	0	0	0.0	0.0	0.0
comment[instrument]	Technical	103	103	103	1.0	1.0	1.0
comment[label]	Technical	103	103	103	1.0	1.0	1.0
comment[modification parameters]	Technical	0	103	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	103	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	103	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	19	0	0	0.0	0.0	0.0
technology type	Technical	103	103	103	1.0	1.0	1.0
