field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell type]	Biological	26	0	0	0.0	0.0	0.0
characteristics[disease]	Biological	0	0	0			
characteristics[organism part]	Biological	0	0	0			
characteristics[organism]	Biological	26	26	26	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	26	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	26	26	26	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	26	26	9	0.34615384615384615	0.34615384615384615	0.34615384615384615
factor value[disease]	ExperimentalDesign	0	0	0			
factor value[experimental design]	ExperimentalDesign	26	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	26	0	0.0	0.0	0.0
comment[dissociation method]	Technical	23	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	26	26	0	0.0	0.0	0.0
comment[instrument]	Technical	26	26	26	1.0	1.0	1.0
comment[label]	Technical	26	26	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	26	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	26	26	26	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	26	0	0	0.0	0.0	0.0
technology type	Technical	26	0	0	0.0	0.0	0.0
