PXD	WORKDIR	LIKELY_CAUSE	EVIDENCE
PXD022888	/mnt/storage_1/HAMLET/work/9d/2f887b32533ff0c586b5937ced720c	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD008341	/mnt/storage_1/HAMLET/work/50/3becd7b88d58b30682e71d0f99b83b	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD021662	/mnt/storage_1/HAMLET/work/ac/9a22a7c1d3c28c408c416940baa885	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD017229	/mnt/storage_1/HAMLET/work/48/5178ec46740b761d063e540d4c787b	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD004983	/mnt/storage_1/HAMLET/work/cf/c62ef95d7a53f9d68ff7959f69e55d	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD015234	/mnt/storage_1/HAMLET/work/ed/edcafd057814c2734a04ce17137a55	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD001805	/mnt/storage_1/HAMLET/work/b2/29f5f4f3c09f33ad800c3088759326	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD016814	/mnt/storage_1/HAMLET/work/fc/4bdeb311f713ded70e665d650121f4	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD013216	/mnt/storage_1/HAMLET/work/c7/91ad3715a8b865b2c9a61976b81228	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD015790	/mnt/storage_1/HAMLET/work/0b/d24d01cdb5e8f1993eba6b369de6c6	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD030927	/mnt/storage_1/HAMLET/work/4a/e5a201ef5229d50c76956c86e579fe	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD013432	/mnt/storage_1/HAMLET/work/a0/5bfa72bc1add0c58e0681b02f0fbed	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD012337	/mnt/storage_1/HAMLET/work/49/6f366666d3cc6f0b5480f493dfe18d	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD004997	/mnt/storage_1/HAMLET/work/f0/2ea5e1500e4e33dbcba408d04eba59	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD023258	/mnt/storage_1/HAMLET/work/53/1f4a9d554e0bab175f9ab7080d3059	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD024637	/mnt/storage_1/HAMLET/work/e0/4752368037914576dab6ce8dd8f22d	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD006603	/mnt/storage_1/HAMLET/work/1c/cf193dbb595f5dedbb0e5a8e565395	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD002548	/mnt/storage_1/HAMLET/work/ba/5f8bd8d228e97337b26b278d041766	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD020090	/mnt/storage_1/HAMLET/work/54/313fe7cc51dae032f218efd63b57ab	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD009298	/mnt/storage_1/HAMLET/work/80/81fd8285bcee206ec494b37b9b0bcc	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD017772	/mnt/storage_1/HAMLET/work/03/bbd2601be9d1f039b67cdc5e03e3b1	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD006156	/mnt/storage_1/HAMLET/work/da/bbbf18abdf260df58136c72d8d9fa9	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD004802	/mnt/storage_1/HAMLET/work/10/812f0ff14ae6c42ee1920d96ea97fc	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD023759	/mnt/storage_1/HAMLET/work/08/0094c8252e43aa0b329fe914426691	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD008842	/mnt/storage_1/HAMLET/work/02/c317abf2a1d3bffac6b1f032369fcf	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD016385	/mnt/storage_1/HAMLET/work/7b/ba675406f78ff4dd4dae4e9530ca9e	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD008215	/mnt/storage_1/HAMLET/work/65/294291b24b460985f1e647317f6088	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD016311	/mnt/storage_1/HAMLET/work/58/8e8ec760c517a5d50cbe96113c8940	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD010217	/mnt/storage_1/HAMLET/work/45/54118ba75d70a268bdbf33af047dbc	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD023032	/mnt/storage_1/HAMLET/work/5a/cab3b74da0045c62e19c512a3568c6	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD017670	/mnt/storage_1/HAMLET/work/ec/adab3402acf0106e4567cde14e3bf3	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD023860	/mnt/storage_1/HAMLET/work/f1/de2de2a66b7282d6ea6552440b7e9e	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD020482	/mnt/storage_1/HAMLET/work/18/255a1e1a4857e4b5cbd9ee5e8d206a	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD021423	/mnt/storage_1/HAMLET/work/76/2699702a1c35f70d2738250bf518fb	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD018112	/mnt/storage_1/HAMLET/work/c2/7e6ba79f45266deab230edd078c0d7	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD010952	/mnt/storage_1/HAMLET/work/d8/276081b31c3e05ade41f11033cdb20	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD005048	/mnt/storage_1/HAMLET/work/64/0d8d1bcab32ef889dba8233763886b	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD022606	/mnt/storage_1/HAMLET/work/79/4de1f40b9929948caaefd99f1664fa	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD017351	/mnt/storage_1/HAMLET/work/25/81dd577df9aee93d45dfd1eaa8dacd	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD036634	/mnt/storage_1/HAMLET/work/32/06bc14cb87ab02b4c13c7364bebfa4	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD017293	/mnt/storage_1/HAMLET/work/10/baf3aa8be1ba3c3bf5ed29375f72a3	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD011999	/mnt/storage_1/HAMLET/work/00/256903558c9f775fc6b0ae131a9277	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD019302	/mnt/storage_1/HAMLET/work/8e/989693fb94c110676f5d079aeba034	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
