PXD	WORKDIR	CLASS	EVIDENCE
PXD022888	/mnt/storage_1/HAMLET/work/9d/2f887b32533ff0c586b5937ced720c	download_command_failed	WARNING: Download failed for 1YWTandKODRKidneyLum_20nov412.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD022888', '-o', '1YWTandKODRKidneyLum_20nov412.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD022888/1YWTandKODRKidneyLum_20nov412.raw']' returned non-zero exit status 1.
PXD008341	/mnt/storage_1/HAMLET/work/50/3becd7b88d58b30682e71d0f99b83b	download_command_failed	WARNING: Download failed for 2.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD008341', '-o', '2.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/02/PXD008341/2.raw']' returned non-zero exit status 1.
PXD021662	/mnt/storage_1/HAMLET/work/ac/9a22a7c1d3c28c408c416940baa885	download_command_failed	WARNING: Download failed for 2018-06-19-140min-200nl-YJ-Vivian-Carla-Koehler-Aim-VO-B.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD021662', '-o', '2018-06-19-140min-200nl-YJ-Vivian-Carla-Koehler-Aim-VO-B.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD021662/2018-06-19-140min-200nl-YJ-Vivian-Carla-Koehler-Aim-VO-B.raw']' returned non-zero exit status 1.
PXD017229	/mnt/storage_1/HAMLET/work/48/5178ec46740b761d063e540d4c787b	download_command_failed	WARNING: Download failed for PC_002.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD017229', '-o', 'PC_002.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD017229/PC_002.raw']' returned non-zero exit status 1.
PXD004983	/mnt/storage_1/HAMLET/work/cf/c62ef95d7a53f9d68ff7959f69e55d	download_command_failed	WARNING: Download failed for BV2_1.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD004983', '-o', 'BV2_1.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD004983/BV2_1.raw']' returned non-zero exit status 1.
PXD015234	/mnt/storage_1/HAMLET/work/ed/edcafd057814c2734a04ce17137a55	download_command_failed	WARNING: Download failed for MS162684QEp_John_Pena_bovine_vitreous_pre-ultra_SO032_1ugVitreouscell-freefraction.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD015234', '-o', 'MS162684QEp_John_Pena_bovine_vitreous_pre-ultra_SO032_1ugVitreouscell-freefraction.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015234/MS162684QEp_John_Pena_bovine_vitreous_pre-ultra_SO032_1ugVitreouscell-freefraction.raw']' returned non-zero exit status 1.
PXD001805	/mnt/storage_1/HAMLET/work/b2/29f5f4f3c09f33ad800c3088759326	download_command_failed	WARNING: Download failed for 20140303_Q_FI_ISG15_INF_mix1.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD001805', '-o', '20140303_Q_FI_ISG15_INF_mix1.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD001805/20140303_Q_FI_ISG15_INF_mix1.raw']' returned non-zero exit status 1.
PXD016814	/mnt/storage_1/HAMLET/work/fc/4bdeb311f713ded70e665d650121f4	download_command_failed	WARNING: Download failed for jlb20190124_AMara_membraneprep.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD016814', '-o', 'jlb20190124_AMara_membraneprep.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD016814/jlb20190124_AMara_membraneprep.raw']' returned non-zero exit status 1.
PXD013216	/mnt/storage_1/HAMLET/work/c7/91ad3715a8b865b2c9a61976b81228	download_command_failed	WARNING: Download failed for 20170927_QexHF4_RSLC4_Elsner_Leonard_MFPL_insol_PKDCAT12_ArgC_10p.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD013216', '-o', '20170927_QexHF4_RSLC4_Elsner_Leonard_MFPL_insol_PKDCAT12_ArgC_10p.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013216/20170927_QexHF4_RSLC4_Elsner_Leonard_MFPL_insol_PKDCAT12_ArgC_10p.raw']' returned non-zero exit status 1.
PXD015790	/mnt/storage_1/HAMLET/work/0b/d24d01cdb5e8f1993eba6b369de6c6	download_command_failed	WARNING: Download failed for 20160113_ZhangQ_N1.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD015790', '-o', '20160113_ZhangQ_N1.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015790/20160113_ZhangQ_N1.raw']' returned non-zero exit status 1.
