source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005354-Sample-1	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	00107_H03_P012579_S00_N24_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-2	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	00108_B01_P012694_S00_N02_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-3	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	00108_G02_P012694_S00_N15_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-4	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	00108_H03_P012694_S00_N24_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-5	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01236_A01_P012696_S00_N01_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-6	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01236_B03_P012696_S00_N18_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-7	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01245_A04_P012911_S00_N01_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-8	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01245_C06_P012911_S00_N19_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-9	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01250_D05_P012913_S00_N12_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-10	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01253_B01_P013028_S00_N02_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-11	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01253_D03_P013028_S00_N20_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-12	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01253_G02_P013028_S00_N15_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-13	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01258_G02_P013098_S00_N15_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-14	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01260_D06_P013102_S00_N20_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005354-Sample-15	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	155	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ Orbitrap Velos, Orbitrap Elite	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (FPA, FPB, FPC)	9 ppm	14 ppm	orbitrap	01261_H06_P013104_S00_N24_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
