Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell type]	Characteristics[disease]	Characteristics[biological replicate]	Assay Name	Comment[fraction identifier]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	Material Type	sampleChecksum	sampleAccession
PXD000534-Sample 1	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00066.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00066.raw	non-tumorous liver tissue	f1d447fe30bf5aeb1d0265b9b16a58114a7f1771b2069f806f4e6ca79b723e0d	SAMEA7718610
PXD000534-Sample 2	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00068.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00068.raw	CCC tumor tissue	e05f110a54f555a0f15b7bd309ef77d3231da61c822dc8fffd071cbbabb078a9	SAMEA7718611
PXD000534-Sample 3	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00070.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00070.raw	non-tumorous liver tissue	9bf74e77e664f2b6e6fc846b6c1334689c7759e90b4dec739ee379d200b8e24d	SAMEA7718612
PXD000534-Sample 4	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00072.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00072.raw	CCC tumor tissue	b73ee6bd7e00034d53ddf0c33f0d0de217b2120617657149a41eb62604ab4bd1	SAMEA7718613
PXD000534-Sample 5	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 5	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00074.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00074.raw	non-tumorous liver tissue	08a6bbb73adcf60aad6211153dba2ad5c4fe8ea9804b2e303f0c0639492649fc	SAMEA7718614
PXD000534-Sample 6	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 6	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00076.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00076.raw	CCC tumor tissue	f95a8f25b8501c394022298048d21166d1e2aa84ea8e66113d13f2319f862f47	SAMEA7718615
PXD000534-Sample 7	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 7	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00078.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00078.raw	non-tumorous liver tissue	a7ce8bdde3dc3241a6baa3f6e7c6dbb216600dbcf33abfadeac26b7a2adb4196	SAMEA7718616
PXD000534-Sample 8	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 8	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00080.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00080.raw	CCC tumor tissue	6692a5923c438b59c2eecf9b733add61ce3b527cb526674b9107d66487a184aa	SAMEA7718617
PXD000534-Sample 9	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 9	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00082.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00082.raw	CCC tumor tissue and non-tumorous liver tissue	bba1d6c0a10e7dbbb5fc3e832d79ec9c604469b5b778eaf438eeebb890cb9e35	SAMEA7718618
PXD000534-Sample 10	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 10	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00084.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00084.raw	non-tumorous liver tissue	4ccbb09564bf2e6d613523fc6cc50dc1166da3fc0a7f078c419527ccec0219a4	SAMEA7718619
