sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state	source records
1	PXD053088-Sample-1	source_name	source name	PXD053088-Sample-1	derived								legacy_derivation	derived	[]
1	PXD053088-Sample-1	organism	characteristics[organism]	Saccharomyces cerevisiae, Homo sapiens	biological_agent	We subjected our purified yeast and mammalian stress granule cores to proteomic analysis (STAR Methods).	AGREE	1.0	medium	False	False	Saccharomyces cerevisiae, Homo sapiens	source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": ""Saccharomyces cerevisiae"", ""metadata"": {""source_field"": ""species""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""Saccharomyces cerevisiae""}]"
1	PXD053088-Sample-1	organism_part	characteristics[organism part]	kidney	biological_agent	Our preparations each started with 8 L of HEK293T cells grown in suspension.	LLM_ONLY	0.5					source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""tissue""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""kidney""}]"
1	PXD053088-Sample-1	disease	characteristics[disease]	normal	biological_agent	We developed a purification of Saccharomyces cerevisiae stress granule cores formed in response to sodium azide treatment (Figure 1)	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""disease_state""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""normal""}]"
1	PXD053088-Sample-1	cell_type	characteristics[cell type]	epithelial cell	biological_agent	Our preparations each started with 8 L of HEK293T cells grown in suspension.	LLM_ONLY	0.5					source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""cell_type""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""epithelial cell""}]"
1	PXD053088-Sample-1	cell_line	characteristics[cell line]	HEK293T	biological_agent	Our preparations each started with 8 L of HEK293T cells grown in suspension.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""cell_line""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""HEK293T""}]"
1	PXD053088-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived	[]
1	PXD053088-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived	[]
1	PXD053088-Sample-1	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""label-free""}]"
1	PXD053088-Sample-1	instrument	comment[instrument]	Orbitrap Fusion Lumos, Orbitrap Exploris 240	technical_agent				medium	False	False	Orbitrap Fusion Lumos, Orbitrap Exploris 240	source_precedence:technical_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""Orbitrap Fusion Lumos""}]"
