source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006195-Sample-1	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13359.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-2	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13361.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-3	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13365.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-4	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13367.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-5	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13371.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-6	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13373.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-7	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13375.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-8	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13379.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-9	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13381.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-10	escherichia coli	not available	not available	BL21 Δarg/Δlys	not available	36	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Elite	not available	1	1	not available	bait protein (Strep-LpxC, Strep-tag, His6-MBP-FtsH, His6-MBP), growth rate/temperature (30°C, 37°C, 40°C)	7 ppm	-0.36913 ppm	orbitrap	OEII13383.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
