"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD002049","","strict","Biological","cell_line","cell_line","WHIM16, WHIM2","True"
"PXD002049","","strict","Biological","cell_type","cell_type","epithelial cell","True"
"PXD002049","","strict","Biological","disease","disease","colon carcinoma, rectal carcinoma, normal","True"
"PXD002049","","strict","Biological","organ","organ","colon, rectum, breast","True"
"PXD002049","","strict","Biological","species","species","Homo sapiens","True"
"PXD002049","","strict","ExperimentalDesign","factor_value","factor_value","condition (carcinoma, normal epithelial) | colon carcinoma, rectal carcinoma, normal","True"
"PXD002049","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD002049","","strict","Technical","alkylation_reagent","alkylation_reagent","iodoacetamide","True"
"PXD002049","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD002049","","strict","Technical","fragmentation","fragmentation","collision-induced dissociation","True"
"PXD002049","","strict","Technical","instrument","instrument","LTQ Orbitrap Velos","True"
"PXD002049","","strict","Technical","label","label","label free","True"
"PXD002049","","strict","Technical","mass_analyzer","mass_analyzer","Orbitrap","True"
"PXD002049","","strict","Technical","modification","modification","Gln->pyro-Glu | Glu->pyro-Glu | Carbamidomethyl | Oxidation | Acetyl","True"
"PXD002049","","strict","Technical","reduction_reagent","reduction_reagent","dithiothreitol","True"
