"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD018594","Biological","cell_line","cell_line","Vero E6","True"
"PXD018594","Biological","cell_type","cell_type","epithelial cell","True"
"PXD018594","Biological","disease","disease","sars-cov-2-infected","True"
"PXD018594","Biological","organ","organ","kidney","True"
"PXD018594","Biological","species","species","chlorocebus","True"
"PXD018594","ExperimentalDesign","factor_value","factor_value","MOI (0.01, 0.001), time-points (1, 2, 3, 4, 7 dpi) | sars-cov-2-infected","True"
"PXD018594","ExperimentalDesign","fractions","fractions","1","True"
"PXD018594","ExperimentalDesign","replicates","replicates","1","True"
"PXD018594","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD018594","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD018594","Technical","fragment_mass_tolerance","fragment_mass_tolerance","10 ppm","True"
"PXD018594","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD018594","Technical","instrument","instrument","Q Exactive HF","True"
"PXD018594","Technical","label","label","label free","True"
"PXD018594","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD018594","Technical","precursor_mass_tolerance","precursor_mass_tolerance","7 ppm","True"
