	assay name	comment[label]	comment[fraction identifier]	comment[instrument]	comment[MS2 analyzer type]	comment[data file]
sample 1	run 1	label free sample	1	Orbitrap Fusion	ion trap	F1905_sailerc_139.raw
sample 1	run 2	label free sample	1	Orbitrap Fusion	ion trap	F1905_sailerc_140.raw
sample 1	run 3	label free sample	2	Orbitrap Fusion	ion trap	F1905_sailerc_141.raw
sample 1	run 4	label free sample	2	Orbitrap Fusion	ion trap	F1905_sailerc_142.raw
sample 1	run 5	label free sample	3	Orbitrap Fusion	ion trap	F1905_sailerc_143.raw
sample 1	run 6	label free sample	3	Orbitrap Fusion	ion trap	F1905_sailerc_144.raw
sample 1	run 7	label free sample	4	Orbitrap Fusion	ion trap	F1905_sailerc_145.raw
sample 1	run 8	label free sample	4	Orbitrap Fusion	ion trap	F1905_sailerc_146.raw
sample 2	run 1	label free sample	1	Orbitrap Fusion	ion trap	F1905_sailerc_149.raw
sample 2	run 2	label free sample	1	Orbitrap Fusion	ion trap	F1905_sailerc_150.raw
sample 2	run 3	label free sample	2	Orbitrap Fusion	ion trap	F1905_sailerc_151.raw
sample 2	run 4	label free sample	2	Orbitrap Fusion	ion trap	F1905_sailerc_152.raw
sample 2	run 5	label free sample	3	Orbitrap Fusion	ion trap	F1905_sailerc_153.raw
sample 2	run 6	label free sample	3	Orbitrap Fusion	ion trap	F1905_sailerc_154.raw
sample 2	run 7	label free sample	4	Orbitrap Fusion	ion trap	F1905_sailerc_155.raw
sample 2	run 8	label free sample	4	Orbitrap Fusion	ion trap	F1905_sailerc_156.raw
