field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	1	0	0.0	0.0	0.0
characteristics[cell line]	Biological	2	2	0	0.0	0.0	0.0
characteristics[cell type]	Biological	2	2	2	1.0	1.0	1.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	2	2	0	0.0	0.0	0.0
characteristics[enrichment process]	Biological	2	2	0	0.0	0.0	0.0
characteristics[organism part]	Biological	2	2	0	0.0	0.0	0.0
characteristics[organism]	Biological	2	2	0	0.0	0.0	0.0
characteristics[sex]	Biological	0	2	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	2	2	2	1.0	1.0	1.0
comment[fraction identifier]	ExperimentalDesign	2	2	2	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	2	2	2	1.0	1.0	1.0
factor value[disease]	ExperimentalDesign	2	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	2	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	2	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	2	0	0.0	0.0	0.0
comment[dissociation method]	Technical	2	0	0	0.0	0.0	0.0
comment[instrument]	Technical	2	2	2	1.0	1.0	1.0
comment[label]	Technical	2	2	2	1.0	1.0	1.0
comment[modification parameters]	Technical	6	8	6	1.0	0.75	0.857143
comment[ms2 mass analyzer]	Technical	2	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	2	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	2	0	0	0.0	0.0	0.0
technology type	Technical	2	2	2	1.0	1.0	1.0
