source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[genotype]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[data file]
sample 1	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 1	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_1.RAW
sample 2	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 2	1	2	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_2.RAW
sample 3	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 3	1	3	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_3.RAW
sample 4	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 4	1	4	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_4.RAW
sample 5	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 5	1	5	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_5.RAW
sample 6	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	1	6	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_1.RAW
sample 7	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	1	7	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_2.RAW
sample 8	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	1	8	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_3.RAW
sample 9	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	1	9	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_4.RAW
sample 10	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	1	10	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_5.RAW
sample 11	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	1	11	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_1.RAW
sample 12	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	1	12	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_2.RAW
sample 13	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	1	13	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_3.RAW
sample 14	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	1	14	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_4.RAW
sample 15	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	1	15	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_5.RAW
sample 16	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	1	16	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_1.RAW
sample 17	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	1	17	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_2.RAW
sample 18	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	1	18	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_3.RAW
sample 19	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	1	19	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_4.RAW
sample 20	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	1	20	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_5.RAW
sample 21	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	3	WT H 3	1	21	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_3_1.RAW
