source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD021394-Sample-1	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 1	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_226.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-2	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 2	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_227.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-3	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 3	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_230.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-4	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 4	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_232.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-5	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 5	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_234.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-6	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 6	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_236.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-7	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 7	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_241.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-8	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 8	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_256.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-9	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 9	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_261.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-10	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 10	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_265.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD021394-Sample-11	Homo sapiens	breast	breast cancer	tumor cells	not available	female	not available	run 11	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	not available	20 ppm, 4.5 ppm	8 ppm	TDM_M1912_275.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
