category,agentic_field,canonical_field,safe_override_field,final_sdrf_columns,used_in_current_sdrf_builder,pride_cache_field_path,pride_present_in_sampled_n,sample_size,sample_source,notes,ann_metadata_labels,pride_present_in_sampled_n_recomputed,sample_size_recomputed,pride_present_fraction_recomputed,presence_count_source,hamlet_present_in_sampled_n,hamlet_present_n,existing_present_n
biological,species,organism,species,characteristics[organism],yes,response[].organisms,100,100,HamletPXDs.csv,Primary organism label,Organism,299,299,1.0,cache_recomputed,296,296,299
biological,tissue,organism_part,organ,characteristics[organism part]; factor value[organism part]*,yes,response[].organismParts OR response[].sampleAttributes[key.name~organism part|tissue],61,100,HamletPXDs.csv,factor value[organism part] only when variable across samples,OrganismPart,202,299,0.6755852842809364,cache_recomputed,253,253,202
biological,disease_state,disease,disease,characteristics[disease]; factor value[disease],yes,response[].diseases,23,100,HamletPXDs.csv,,Disease,74,299,0.24749163879598662,cache_recomputed,199,199,74
biological,cell_type,cell_type,cell_type,characteristics[cell type]*,conditional,response[].sampleAttributes[key.name~cell type],0,100,HamletPXDs.csv,Column emitted only if any value present,CellType,0,299,0.0,cache_recomputed,187,187,0
biological,cell_line,cell_line,cell_line,characteristics[cell line]*; characteristics[cellosaurus accession]*,conditional,response[].sampleAttributes[key.name~cell line],0,100,HamletPXDs.csv,Cellosaurus accession currently filled as not available,CellLine,0,299,0.0,cache_recomputed,143,143,0
biological,sex,sex,sex,characteristics[sex],yes,response[].sampleAttributes[key.name~sex|gender],0,100,HamletPXDs.csv,,Sex,0,299,0.0,cache_recomputed,38,38,0
biological,age,age,age,characteristics[age],yes,response[].sampleAttributes[key.name~age],0,100,HamletPXDs.csv,,Age,0,299,0.0,cache_recomputed,59,59,0
technical,acquisition_method,acquisition_method,acquisition_method,comment[proteomics data acquisition method],yes,response[].experimentTypes / response[].projectTags,100,100,HamletPXDs.csv,Currently sourced mainly from runAssessor/detected params,AcquisitionMethod,28,299,0.09364548494983277,restricted_to_DDA_or_DIA,291,291,28
technical,instrument,instrument,instrument,comment[instrument],yes,response[].instruments,100,100,HamletPXDs.csv,,Instrument,299,299,1.0,cache_recomputed,296,296,299
technical,labeling,label,label,comment[label],yes,response[].quantificationMethods,42,100,HamletPXDs.csv,,Label,117,299,0.391304347826087,cache_recomputed,264,264,117
technical,fragmentation_method,fragmentation,,comment[dissociation method],yes,response[].sampleProcessingProtocol / response[].dataProcessingProtocol,75,100,HamletPXDs.csv,,FragmentationMethod,0,299,0.0,not_available_only_protocol_paths,281,281,0
technical,cleavage_agent,cleavage_agent,,comment[cleavage agent details],yes,response[].sampleProcessingProtocol,83,100,HamletPXDs.csv,Currently protocol-derived in builder,CleavageAgent,0,299,0.0,not_available_only_sampleProcessingProtocol,222,222,0
technical,enrichment_method,enrichment_method,,characteristics[enrichment process]*,conditional,response[].sampleProcessingProtocol,38,100,HamletPXDs.csv,Via llm_extracted_metadata fallback,EnrichmentMethod,0,299,0.0,not_available_only_sampleProcessingProtocol,0,0,0
technical,reduction_reagent,reduction_reagent,,comment[reduction reagent]*,conditional,response[].sampleProcessingProtocol,12,100,HamletPXDs.csv,,ReductionReagent,0,299,0.0,not_available_only_sampleProcessingProtocol,140,140,0
technical,alkylation_reagent,alkylation_reagent,,comment[alkylation reagent]*,conditional,response[].sampleProcessingProtocol,39,100,HamletPXDs.csv,,AlkylationReagent,0,299,0.0,not_available_only_sampleProcessingProtocol,117,117,0
technical,collision_energy,collision_energy,,comment[collision energy]*,conditional,response[].sampleProcessingProtocol,0,100,HamletPXDs.csv,,CollisionEnergy,0,299,0.0,not_available_only_sampleProcessingProtocol,36,36,0
technical,mass_analyzer,mass_analyzer,,comment[ms2 mass analyzer]*,conditional,response[].instruments (inferred),0,100,HamletPXDs.csv,Builder infers analyzer from instrument model,MS2MassAnalyzer,0,299,0.0,crosswalk_curated,293,293,0
technical,ptm,ptm,,comment[modification parameters]*,conditional,response[].identifiedPTMStrings / protocols,0,100,HamletPXDs.csv,Builder emits one or more modification parameter columns,Modification,198,299,0.6622073578595318,cache_recomputed,285,285,198
experimental_design,number_of_biological_replicates,replicates,replicates,characteristics[biological replicate],yes,response[].projectDescription / response[].sampleProcessingProtocol,2,100,HamletPXDs.csv,,NumberOfBiologicalReplicates,0,299,0.0,not_available_only_generic_design_paths,296,296,0
experimental_design,number_of_technical_replicates,technical_replicates,technical_replicates,comment[technical replicate],yes,response[].projectDescription / response[].sampleProcessingProtocol,3,100,HamletPXDs.csv,,NumberOfTechnicalReplicates,0,299,0.0,not_available_only_generic_design_paths,296,296,0
experimental_design,number_of_fractions,fractions,fractions,comment[fraction identifier],yes,response[].projectDescription / response[].sampleProcessingProtocol,6,100,HamletPXDs.csv,,NumberOfFractions,0,299,0.0,not_available_only_generic_design_paths,296,296,0
experimental_design,factor_value,factor_value,factor_value,factor value[experimental design]*,conditional,response[].sampleAttributes / response[].projectDescription,23,100,HamletPXDs.csv,,FactorValue,0,299,0.0,not_available_only_generic_design_paths,294,294,0
experimental_design,biological_replicate,replicates,replicates,characteristics[biological replicate] (via canonical collapse),yes,response[].projectDescription / response[].sampleProcessingProtocol,2,100,HamletPXDs.csv,Aliases collapse through FIELD_NAME_MAP,BiologicalReplicate,0,299,0.0,not_available_only_generic_design_paths,296,296,0
experimental_design,technical_replicate,technical_replicates,technical_replicates,comment[technical replicate] (via canonical collapse),yes,response[].projectDescription / response[].sampleProcessingProtocol,3,100,HamletPXDs.csv,Aliases collapse through FIELD_NAME_MAP,TechnicalReplicate,0,299,0.0,not_available_only_generic_design_paths,296,296,0
