category,agentic_field,canonical_field,safe_override_field,final_sdrf_columns,used_in_current_sdrf_builder,pride_cache_field_path,pride_present_in_sampled_n,sample_size,sample_source,notes,pride_present_in_sampled_n_recomputed,sample_size_recomputed,pride_present_fraction_recomputed,presence_count_source,hamlet_present_in_sampled_n,hamlet_present_n,existing_present_n,existing_count_source,analysis_population,analysis_population_size
biological,species,organism,species,characteristics[organism],yes,response[].organisms,100,100,HamletPXDs.csv,Primary organism label,299,299,1.0,cache_recomputed,288,288,299,cache_recomputed,hamlet-csv,299
biological,tissue,organism_part,organ,characteristics[organism part]; factor value[organism part]*,yes,response[].organismParts OR response[].sampleAttributes[key.name~organism part|tissue],61,100,HamletPXDs.csv,factor value[organism part] only when variable across samples,202,299,0.6755852842809364,cache_recomputed,242,242,202,cache_recomputed,hamlet-csv,299
biological,disease_state,disease,disease,characteristics[disease]; factor value[disease],yes,response[].diseases,23,100,HamletPXDs.csv,,74,299,0.24749163879598662,cache_recomputed,191,191,74,cache_recomputed,hamlet-csv,299
biological,cell_type,cell_type,cell_type,characteristics[cell type]*,conditional,response[].sampleAttributes[key.name~cell type],0,100,HamletPXDs.csv,Column emitted only if any value present,0,299,0.0,cache_recomputed,188,188,0,cache_recomputed,hamlet-csv,299
biological,cell_line,cell_line,cell_line,characteristics[cell line]*; characteristics[cellosaurus accession]*,conditional,response[].sampleAttributes[key.name~cell line],0,100,HamletPXDs.csv,Cellosaurus accession currently filled as not available,0,299,0.0,cache_recomputed,137,137,0,cache_recomputed,hamlet-csv,299
biological,sex,sex,sex,characteristics[sex],yes,response[].sampleAttributes[key.name~sex|gender],0,100,HamletPXDs.csv,,0,299,0.0,cache_recomputed,48,48,0,cache_recomputed,hamlet-csv,299
biological,age,age,age,characteristics[age],yes,response[].sampleAttributes[key.name~age],0,100,HamletPXDs.csv,,0,299,0.0,cache_recomputed,67,67,0,cache_recomputed,hamlet-csv,299
technical,acquisition_method,acquisition_method,acquisition_method,comment[proteomics data acquisition method],yes,response[].experimentTypes / response[].projectTags,100,100,HamletPXDs.csv,Currently sourced mainly from runAssessor/detected params,28,299,0.09364548494983277,restricted_to_DDA_or_DIA,283,283,28,cache_recomputed,hamlet-csv,299
technical,instrument,instrument,instrument,comment[instrument],yes,response[].instruments,100,100,HamletPXDs.csv,,299,299,1.0,cache_recomputed,288,288,299,cache_recomputed,hamlet-csv,299
technical,labeling,label,label,comment[label],yes,response[].quantificationMethods,42,100,HamletPXDs.csv,,117,299,0.391304347826087,cache_recomputed,256,256,117,cache_recomputed,hamlet-csv,299
technical,fragmentation_method,fragmentation,,comment[dissociation method],yes,response[].sampleProcessingProtocol / response[].dataProcessingProtocol,75,100,HamletPXDs.csv,,0,299,0.0,not_available_only_protocol_paths,275,275,0,cache_recomputed,hamlet-csv,299
technical,cleavage_agent,cleavage_agent,,comment[cleavage agent details],yes,response[].sampleProcessingProtocol,83,100,HamletPXDs.csv,Currently protocol-derived in builder,0,299,0.0,not_available_only_sampleProcessingProtocol,217,217,0,cache_recomputed,hamlet-csv,299
technical,enrichment_method,enrichment_method,,characteristics[enrichment process]*,conditional,response[].sampleProcessingProtocol,38,100,HamletPXDs.csv,Via llm_extracted_metadata fallback,0,299,0.0,not_available_only_sampleProcessingProtocol,0,0,0,cache_recomputed,hamlet-csv,299
technical,reduction_reagent,reduction_reagent,,comment[reduction reagent]*,conditional,response[].sampleProcessingProtocol,12,100,HamletPXDs.csv,,0,299,0.0,not_available_only_sampleProcessingProtocol,133,133,0,cache_recomputed,hamlet-csv,299
technical,alkylation_reagent,alkylation_reagent,,comment[alkylation reagent]*,conditional,response[].sampleProcessingProtocol,39,100,HamletPXDs.csv,,0,299,0.0,not_available_only_sampleProcessingProtocol,110,110,0,cache_recomputed,hamlet-csv,299
technical,collision_energy,collision_energy,,comment[collision energy]*,conditional,response[].sampleProcessingProtocol,0,100,HamletPXDs.csv,,0,299,0.0,not_available_only_sampleProcessingProtocol,36,36,0,cache_recomputed,hamlet-csv,299
technical,mass_analyzer,mass_analyzer,,comment[ms2 mass analyzer]*,conditional,response[].instruments (inferred),0,100,HamletPXDs.csv,Builder infers analyzer from instrument model,0,299,0.0,crosswalk_curated,284,284,0,cache_recomputed,hamlet-csv,299
technical,ptm,ptm,,comment[modification parameters]*,conditional,response[].identifiedPTMStrings / protocols,0,100,HamletPXDs.csv,Builder emits one or more modification parameter columns,198,299,0.6622073578595318,cache_recomputed,278,278,198,cache_recomputed,hamlet-csv,299
experimental_design,number_of_biological_replicates,replicates,replicates,characteristics[biological replicate],yes,response[].projectDescription / response[].sampleProcessingProtocol,2,100,HamletPXDs.csv,,0,299,0.0,not_available_only_generic_design_paths,288,288,0,cache_recomputed,hamlet-csv,299
experimental_design,number_of_technical_replicates,technical_replicates,technical_replicates,comment[technical replicate],yes,response[].projectDescription / response[].sampleProcessingProtocol,3,100,HamletPXDs.csv,,0,299,0.0,not_available_only_generic_design_paths,288,288,0,cache_recomputed,hamlet-csv,299
experimental_design,number_of_fractions,fractions,fractions,comment[fraction identifier],yes,response[].projectDescription / response[].sampleProcessingProtocol,6,100,HamletPXDs.csv,,0,299,0.0,not_available_only_generic_design_paths,288,288,0,cache_recomputed,hamlet-csv,299
experimental_design,factor_value,factor_value,factor_value,factor value[experimental design]*,conditional,response[].sampleAttributes / response[].projectDescription,23,100,HamletPXDs.csv,,0,299,0.0,not_available_only_generic_design_paths,282,282,0,cache_recomputed,hamlet-csv,299
experimental_design,biological_replicate,replicates,replicates,characteristics[biological replicate] (via canonical collapse),yes,response[].projectDescription / response[].sampleProcessingProtocol,2,100,HamletPXDs.csv,Aliases collapse through FIELD_NAME_MAP,0,299,0.0,not_available_only_generic_design_paths,288,288,0,cache_recomputed,hamlet-csv,299
experimental_design,technical_replicate,technical_replicates,technical_replicates,comment[technical replicate] (via canonical collapse),yes,response[].projectDescription / response[].sampleProcessingProtocol,3,100,HamletPXDs.csv,Aliases collapse through FIELD_NAME_MAP,0,299,0.0,not_available_only_generic_design_paths,288,288,0,cache_recomputed,hamlet-csv,299
