pxd,has_sdrf
PXD001454,False
PXD001805,False
PXD002030,False
PXD002120,False
PXD002132,False
PXD002337,False
PXD002548,False
PXD003356,False
PXD003544,False
PXD003772,False
PXD004802,False
PXD004983,False
PXD004997,False
PXD005048,False
PXD005188,False
PXD005463,True
PXD005628,False
PXD006156,False
PXD006603,False
PXD006738,False
PXD006856,False
PXD008108,False
PXD008215,False
PXD008245,False
PXD008341,False
PXD008842,False
PXD009266,False
PXD009281,False
PXD009298,False
PXD009375,False
PXD009584,False
PXD009777,False
PXD009864,False
PXD010217,False
PXD010952,False
PXD010963,False
PXD011237,False
PXD011241,False
PXD011507,False
PXD011542,False
PXD011863,False
PXD011986,False
PXD011999,False
PXD012068,False
PXD012337,False
PXD012723,False
PXD012811,False
PXD013216,False
PXD013432,False
PXD013517,False
PXD013599,False
PXD013685,False
PXD013836,False
PXD014164,False
PXD014472,False
PXD014738,False
PXD015234,False
PXD015445,False
PXD015790,False
PXD015800,False
PXD016311,False
PXD016385,False
PXD016814,False
PXD016858,False
PXD016919,False
PXD017229,False
PXD017293,False
PXD017347,False
PXD017351,False
PXD017376,False
PXD017670,False
PXD017772,False
PXD018021,False
PXD018112,False
PXD018749,False
PXD018851,False
PXD019119,False
PXD019302,False
PXD019412,False
PXD019470,False
PXD020090,False
PXD020190,False
PXD020332,False
PXD020418,False
PXD020482,False
PXD020585,False
PXD020819,False
PXD021039,False
PXD021186,False
PXD021192,False
PXD021328,False
PXD021423,False
PXD021444,False
PXD021514,False
PXD021662,False
PXD021678,False
PXD021970,False
PXD022037,False
PXD022113,False
PXD022606,False
PXD022888,False
PXD023032,False
PXD023258,False
PXD023759,False
PXD023860,False
PXD023906,False
PXD023959,False
PXD023985,False
PXD024044,False
PXD024054,False
PXD024637,False
PXD024642,False
PXD024647,False
PXD024749,False
PXD025175,False
PXD025590,False
PXD025623,False
PXD025757,False
PXD025776,False
PXD025803,False
PXD026139,False
PXD026142,False
PXD026512,False
PXD027015,False
PXD027053,False
PXD027352,False
PXD027640,False
PXD027729,False
PXD027841,False
PXD027882,False
PXD028151,False
PXD028480,False
PXD029013,False
PXD029059,False
PXD029141,False
PXD029335,False
PXD029361,False
PXD029574,False
PXD029629,False
PXD029783,False
PXD030212,False
PXD030213,False
PXD030548,False
PXD030715,False
PXD030730,False
PXD030847,False
PXD030883,False
PXD030927,False
PXD030937,False
PXD030978,False
PXD031064,False
PXD031141,False
PXD031252,False
PXD031703,False
PXD031801,False
PXD031873,False
PXD031971,False
PXD032027,False
PXD032035,False
PXD032086,False
PXD032144,False
PXD032209,False
PXD032360,False
PXD032738,False
PXD032931,False
PXD033047,False
PXD033099,False
PXD033112,False
PXD033196,False
PXD033342,False
PXD033469,False
PXD033536,False
PXD033924,False
PXD034074,False
PXD034134,False
PXD034576,False
PXD034583,False
PXD034594,False
PXD034865,False
PXD035048,False
PXD035650,False
PXD035722,False
PXD036005,False
PXD036192,False
PXD036197,False
PXD036200,False
PXD036430,False
PXD036634,False
PXD036675,False
PXD036708,False
PXD036779,False
PXD036966,False
PXD037001,False
PXD037474,False
PXD037907,False
PXD037955,False
PXD037990,False
PXD038126,False
PXD038818,False
PXD039035,False
PXD039053,False
PXD039226,False
PXD039267,False
PXD039332,False
PXD039394,False
PXD039401,False
PXD039780,False
PXD039849,False
PXD039939,False
PXD039998,False
PXD040180,False
PXD040208,False
PXD040772,False
PXD040899,False
PXD041051,False
PXD041514,False
PXD041561,False
PXD041775,False
PXD041782,False
PXD042397,False
PXD042575,False
PXD042914,False
PXD043087,False
PXD043500,False
PXD043535,False
PXD043558,False
PXD043924,False
PXD044188,False
PXD044253,False
PXD044254,False
PXD044305,False
PXD044743,False
PXD044750,False
PXD044760,False
PXD044767,False
PXD044788,False
PXD044860,False
PXD045770,False
PXD047066,False
PXD047758,False
PXD047910,False
PXD048381,False
PXD048451,False
PXD048763,False
PXD050085,False
PXD050244,False
PXD050400,False
PXD050745,False
PXD051371,False
PXD051954,False
PXD052214,False
PXD052900,False
PXD053088,False
PXD053091,False
PXD053260,False
PXD053289,False
PXD053353,False
PXD053582,False
PXD053919,False
PXD054249,False
PXD054439,False
PXD055145,False
PXD055157,False
PXD055741,False
PXD055868,False
PXD055950,False
PXD056030,False
PXD056039,False
PXD056191,False
PXD056565,False
PXD056757,False
PXD056970,False
PXD057808,False
PXD057905,False
PXD058005,False
PXD058432,False
PXD059345,False
PXD060056,False
PXD060120,False
PXD060323,False
PXD060873,False
PXD060878,False
PXD061454,False
PXD061760,False
PXD063163,False
PXD064331,False
PXD064366,False
PXD065314,False
PXD065770,False
PXD067788,False
PXD067843,False
PXD068794,False
PXD069044,False
PXD069171,False
PXD069559,False
PXD070144,False
PXD070229,False
PXD072078,False
PXD073162,False
