accession,existing_PRIDE_SDRF
PAD000001,False
PAD000002,False
PAD000003,False
PAD000004,False
PAD000005,False
PAD000006,False
PAD000008,False
PAD000009,False
PAD000010,False
PAD000013,False
PAD000014,False
PAD000016,False
PAD000019,False
PAD000020,False
PAD000021,False
PAD000022,False
PAD000024,False
PAD000026,False
PAD000030,False
PAD000033,False
PAD000035,False
PAD000036,False
PAD000037,False
PAD000041,False
PAD000045,False
PRD000001,False
PRD000002,False
PRD000003,False
PRD000004,False
PRD000005,False
PRD000006,False
PRD000007,False
PRD000008,False
PRD000009,False
PRD000010,False
PRD000011,False
PRD000012,False
PRD000013,False
PRD000014,False
PRD000015,False
PRD000016,False
PRD000017,False
PRD000018,False
PRD000019,False
PRD000020,False
PRD000021,False
PRD000022,False
PRD000023,False
PRD000024,False
PRD000026,False
PRD000027,False
PRD000029,False
PRD000030,False
PRD000032,False
PRD000033,False
PRD000035,False
PRD000037,False
PRD000038,False
PRD000039,False
PRD000042,False
PRD000043,False
PRD000044,False
PRD000045,False
PRD000046,False
PRD000047,False
PRD000049,False
PRD000050,False
PRD000051,False
PRD000052,False
PRD000053,False
PRD000054,False
PRD000055,False
PRD000056,False
PRD000057,False
PRD000059,False
PRD000060,False
PRD000062,False
PRD000065,False
PRD000066,False
PRD000067,False
PRD000068,False
PRD000069,False
PRD000070,False
PRD000072,False
PRD000073,False
PRD000074,False
PRD000075,False
PRD000079,False
PRD000080,False
PRD000081,False
PRD000082,False
PRD000083,False
PRD000084,False
PRD000085,False
PRD000086,False
PRD000087,False
PRD000088,False
PRD000089,False
PRD000092,False
PRD000093,False
PRD000096,False
PRD000097,False
PRD000099,False
PRD000100,False
PRD000103,False
PRD000104,False
PRD000105,False
PRD000106,False
PRD000108,False
PRD000109,False
PRD000111,False
PRD000112,False
PRD000113,False
PRD000114,False
PRD000115,False
PRD000116,False
PRD000117,False
PRD000118,False
PRD000119,False
PRD000122,False
PRD000123,False
PRD000124,False
PRD000126,False
PRD000127,False
PRD000133,False
PRD000134,False
PRD000136,False
PRD000139,False
PRD000140,False
PRD000141,False
PRD000142,False
PRD000143,False
PRD000146,False
PRD000147,False
PRD000148,False
PRD000150,False
PRD000151,False
PRD000153,False
PRD000154,False
PRD000155,False
PRD000156,False
PRD000157,False
PRD000158,False
PRD000159,False
PRD000160,False
PRD000161,False
PRD000163,False
PRD000164,False
PRD000165,False
PRD000167,False
PRD000168,False
PRD000169,False
PRD000170,False
PRD000172,False
PRD000174,False
PRD000176,False
PRD000177,False
PRD000178,False
PRD000180,False
PRD000181,False
PRD000182,False
PRD000183,False
PRD000184,False
PRD000185,False
PRD000186,False
PRD000187,False
PRD000189,False
PRD000190,False
PRD000191,False
PRD000192,False
PRD000193,False
PRD000194,False
PRD000196,False
PRD000197,False
PRD000199,False
PRD000200,False
PRD000201,False
PRD000203,False
PRD000204,False
PRD000209,False
PRD000211,False
PRD000212,False
PRD000213,False
PRD000214,False
PRD000216,False
PRD000218,False
PRD000220,False
PRD000221,False
PRD000222,False
PRD000223,False
PRD000224,False
PRD000226,False
PRD000227,False
PRD000228,False
PRD000229,False
PRD000231,False
PRD000232,False
PRD000233,False
PRD000234,False
PRD000237,False
PRD000238,False
PRD000239,False
PRD000241,False
PRD000242,False
PRD000246,False
PRD000247,False
PRD000249,False
PRD000250,False
PRD000251,False
PRD000252,False
PRD000255,False
PRD000256,False
PRD000257,False
PRD000258,False
PRD000259,False
PRD000262,False
PRD000263,False
PRD000266,False
PRD000267,False
PRD000268,False
PRD000269,False
PRD000270,False
PRD000271,False
PRD000272,False
PRD000273,False
PRD000276,False
PRD000277,False
PRD000279,False
PRD000280,False
PRD000281,False
PRD000283,False
PRD000284,False
PRD000285,False
PRD000286,False
PRD000288,False
PRD000289,False
PRD000291,False
PRD000292,False
PRD000293,False
PRD000294,False
PRD000298,False
PRD000300,False
PRD000301,False
PRD000303,False
PRD000307,False
PRD000308,False
PRD000309,False
PRD000312,False
PRD000313,False
PRD000314,False
PRD000316,False
PRD000317,False
PRD000319,False
PRD000321,False
PRD000323,False
PRD000326,False
PRD000327,False
PRD000328,False
PRD000332,False
PRD000333,False
PRD000334,False
PRD000336,False
PRD000337,False
PRD000340,False
PRD000341,False
PRD000345,False
PRD000346,False
PRD000347,False
PRD000348,False
PRD000349,False
PRD000350,False
PRD000351,False
PRD000354,False
PRD000357,False
PRD000359,False
PRD000360,False
PRD000361,False
PRD000362,False
PRD000363,False
PRD000364,False
PRD000365,False
PRD000366,False
PRD000369,False
PRD000373,False
PRD000374,False
PRD000375,False
PRD000376,False
PRD000377,False
PRD000378,False
PRD000381,False
PRD000382,False
PRD000384,False
PRD000387,False
PRD000388,False
PRD000391,False
PRD000392,False
PRD000393,False
PRD000394,False
PRD000395,False
PRD000397,False
PRD000398,False
PRD000400,False
PRD000401,False
PRD000404,False
PRD000406,False
PRD000407,False
PRD000409,False
PRD000410,False
PRD000411,False
PRD000414,False
PRD000415,False
PRD000416,False
PRD000417,False
PRD000418,False
PRD000419,False
PRD000420,False
PRD000421,False
PRD000422,False
PRD000423,False
PRD000424,False
PRD000425,False
PRD000426,False
PRD000429,False
PRD000430,False
PRD000434,False
PRD000435,False
PRD000436,False
PRD000437,False
PRD000438,False
PRD000439,False
PRD000441,False
PRD000443,False
PRD000444,False
PRD000445,False
PRD000446,False
PRD000448,False
PRD000449,False
PRD000450,False
PRD000451,False
PRD000453,False
PRD000456,False
PRD000458,False
PRD000459,False
PRD000460,False
PRD000461,False
PRD000462,False
PRD000463,False
PRD000464,False
PRD000465,False
PRD000466,False
PRD000467,False
PRD000468,False
PRD000469,False
PRD000470,False
PRD000471,False
PRD000472,False
PRD000473,False
PRD000474,False
PRD000475,False
PRD000476,False
PRD000477,False
PRD000478,False
PRD000479,False
PRD000480,False
PRD000481,False
PRD000482,False
PRD000483,False
PRD000484,False
PRD000485,False
PRD000486,False
PRD000487,False
PRD000488,False
PRD000489,False
PRD000490,False
PRD000491,False
PRD000492,False
PRD000493,False
PRD000494,False
PRD000495,False
PRD000496,False
PRD000497,False
PRD000498,False
PRD000499,False
PRD000500,False
PRD000501,False
PRD000502,False
PRD000503,False
PRD000504,False
PRD000505,False
PRD000506,False
PRD000507,False
PRD000508,False
PRD000509,False
PRD000510,False
PRD000511,False
PRD000512,False
PRD000513,False
PRD000514,False
PRD000517,False
PRD000518,False
PRD000519,False
PRD000520,False
PRD000522,False
PRD000523,False
PRD000524,False
PRD000525,False
PRD000526,False
PRD000527,False
PRD000531,False
PRD000532,False
PRD000534,False
PRD000535,False
PRD000540,False
PRD000541,False
PRD000542,False
PRD000543,False
PRD000544,False
PRD000545,False
PRD000546,False
PRD000548,False
PRD000551,False
PRD000554,False
PRD000557,False
PRD000562,False
PRD000563,False
PRD000565,False
PRD000566,False
PRD000567,False
PRD000569,False
PRD000575,False
PRD000577,False
PRD000580,False
PRD000581,False
PRD000582,False
PRD000590,False
PRD000591,False
PRD000592,False
PRD000593,False
PRD000594,False
PRD000595,False
PRD000597,False
PRD000600,False
PRD000603,False
PRD000605,False
PRD000606,False
PRD000607,False
PRD000608,False
PRD000615,False
PRD000616,False
PRD000618,False
PRD000619,False
PRD000620,False
PRD000623,False
PRD000624,False
PRD000625,False
PRD000629,False
PRD000631,False
PRD000632,False
PRD000634,False
PRD000635,False
PRD000636,False
PRD000640,False
PRD000644,False
PRD000647,False
PRD000650,False
PRD000651,False
PRD000655,False
PRD000656,False
PRD000659,False
PRD000664,False
PRD000665,False
PRD000666,False
PRD000668,False
PRD000671,False
PRD000673,False
PRD000676,False
PRD000677,False
PRD000679,False
PRD000680,False
PRD000681,False
PRD000684,False
PRD000685,False
PRD000689,False
PRD000693,False
PRD000695,False
PRD000698,False
PRD000704,False
PRD000709,False
PRD000711,False
PRD000717,False
PRD000721,False
PRD000722,False
PRD000726,False
PRD000727,False
PRD000728,False
PRD000729,False
PRD000730,False
PRD000731,False
PRD000732,False
PRD000733,False
PRD000736,False
PRD000737,False
PRD000738,False
PRD000744,False
PRD000748,False
PRD000749,False
PRD000753,False
PRD000754,False
PRD000755,False
PRD000759,False
PRD000760,False
PRD000761,False
PRD000762,False
PRD000763,False
PRD000766,False
PRD000769,False
PRD000770,False
PRD000772,False
PRD000774,False
PRD000780,False
PRD000782,False
PRD000787,False
PRD000791,False
PRD000793,False
PRD000796,False
PRD000797,False
PRD000799,False
PRD000803,False
PRD000804,False
PRD000806,False
PRD000807,False
PRD000808,False
PRD000809,False
PRD000810,False
PRD000812,False
PRD000813,False
PRD000814,False
PRD000815,False
PRD000817,False
PRD000818,False
PRD000820,False
PRD000821,False
PRD000822,False
PRD000825,False
PRD000826,False
PRD000828,False
PRD000833,False
PRD000846,False
PRD000847,False
PXD000001,False
PXD000004,False
PXD000005,False
PXD000006,False
PXD000007,False
PXD000008,False
PXD000009,False
PXD000011,False
PXD000012,False
PXD000013,False
PXD000014,False
PXD000015,False
PXD000016,False
PXD000017,False
PXD000018,False
PXD000020,False
PXD000021,False
PXD000022,False
PXD000023,False
PXD000025,False
PXD000026,False
PXD000027,False
PXD000028,False
PXD000029,False
PXD000030,False
PXD000031,False
PXD000033,False
PXD000035,False
PXD000036,False
PXD000038,False
PXD000039,False
PXD000041,False
PXD000042,False
PXD000043,False
PXD000044,False
PXD000045,False
PXD000046,False
PXD000047,False
PXD000048,False
PXD000049,False
PXD000050,False
PXD000051,False
PXD000052,False
PXD000053,False
PXD000054,False
PXD000055,False
PXD000056,False
PXD000057,False
PXD000058,False
PXD000059,False
PXD000061,False
PXD000062,False
PXD000063,False
PXD000064,False
PXD000065,False
PXD000066,False
PXD000067,False
PXD000069,False
PXD000070,False
PXD000071,False
PXD000072,False
PXD000073,False
PXD000076,False
PXD000078,False
PXD000079,False
PXD000082,False
PXD000083,False
PXD000084,False
PXD000089,False
PXD000090,False
PXD000094,False
PXD000095,False
PXD000104,False
PXD000105,False
PXD000106,False
PXD000107,False
PXD000109,False
PXD000111,False
PXD000112,False
PXD000113,False
PXD000114,False
PXD000115,False
PXD000117,False
PXD000118,False
PXD000119,False
PXD000120,False
PXD000121,False
PXD000123,False
PXD000124,False
PXD000125,False
PXD000126,False
PXD000127,False
PXD000128,False
PXD000129,False
PXD000131,False
PXD000132,False
PXD000133,False
PXD000134,False
PXD000136,False
PXD000138,False
PXD000141,False
PXD000142,False
PXD000143,False
PXD000145,False
PXD000147,False
PXD000148,False
PXD000149,False
PXD000150,False
PXD000151,False
PXD000152,False
PXD000153,False
PXD000154,False
PXD000155,False
PXD000156,False
PXD000157,False
PXD000158,False
PXD000159,False
PXD000160,False
PXD000161,False
PXD000162,False
PXD000163,False
PXD000164,False
PXD000165,False
PXD000168,False
PXD000169,False
PXD000170,False
PXD000171,False
PXD000172,False
PXD000173,False
PXD000174,False
PXD000175,False
PXD000176,False
PXD000177,False
PXD000178,False
PXD000180,False
PXD000181,False
PXD000182,False
PXD000183,False
PXD000184,False
PXD000185,False
PXD000186,False
PXD000187,False
PXD000188,False
PXD000189,False
PXD000190,False
PXD000191,False
PXD000192,False
PXD000194,False
PXD000195,False
PXD000196,False
PXD000197,False
PXD000198,False
PXD000201,False
PXD000202,False
PXD000203,False
PXD000205,False
PXD000206,False
PXD000208,False
PXD000210,False
PXD000211,False
PXD000212,False
PXD000213,False
PXD000214,False
PXD000216,False
PXD000217,False
PXD000218,False
PXD000219,False
PXD000221,False
PXD000222,False
PXD000223,False
PXD000224,False
PXD000225,False
PXD000226,False
PXD000227,False
PXD000228,False
PXD000230,False
PXD000231,False
PXD000233,False
PXD000234,False
PXD000235,False
PXD000237,False
PXD000238,False
PXD000239,False
PXD000240,False
PXD000241,False
PXD000242,False
PXD000243,False
PXD000244,False
PXD000246,False
PXD000247,False
PXD000248,False
PXD000249,False
PXD000250,False
PXD000252,False
PXD000253,False
PXD000254,False
PXD000255,False
PXD000258,False
PXD000260,False
PXD000261,False
PXD000262,False
PXD000263,False
PXD000264,False
PXD000265,False
PXD000266,False
PXD000268,False
PXD000269,False
PXD000270,False
PXD000271,False
PXD000272,False
PXD000273,False
PXD000274,False
PXD000275,False
PXD000276,False
PXD000277,False
PXD000278,False
PXD000279,False
PXD000280,False
PXD000281,False
PXD000282,False
PXD000283,False
PXD000284,False
PXD000287,False
PXD000288,True
PXD000289,False
PXD000292,False
PXD000293,False
PXD000294,False
PXD000296,False
PXD000297,False
PXD000298,False
PXD000299,False
PXD000301,False
PXD000302,False
PXD000303,False
PXD000304,False
PXD000305,False
PXD000306,False
PXD000307,False
PXD000308,False
PXD000309,False
PXD000310,False
PXD000311,False
PXD000312,True
PXD000313,False
PXD000314,False
PXD000316,False
PXD000318,False
PXD000319,False
PXD000320,False
PXD000321,False
PXD000322,False
PXD000323,False
PXD000324,False
PXD000325,False
PXD000326,False
PXD000327,False
