pxd,matched_keyword,sampleProcessingProtocol_snippet
PXD001805,affinity,(pBabe-FHisISG15 mature) in either medium or heavy media.  For nickel affinity purification we expanded the SILAC labeled cells to two large 500 cm2 per condition (approximately 10 x 107 cells per c
PXD002132,enrichment,"the labelled and digested peptides were subjected to Sep-Pak C18. The enrichment of tyrosine phosphorylated peptides from TMT labelled lysates was carried out using Phosphoscan Kit (P-Tyr-1000, Cell s"
PXD002337,SCX,"0.5% formic acid and 15% acetonitrile and put strong cation exchange (SCX) columns. Column were washed before peptides were eluted in high salt buffer (15% acetonitrile, 500mM ammonium acetate"
PXD002548,enrichment,"cystein blocked and digested. Protein digests from each strain after enrichment were created with a different iTRAQ reagent containing different isobaric tag (114, 115, 116,117) following the manufac"
PXD003356,enriched,"Treated cells with 3 different nanoparticles (SiO2, Fe3O4, CoO) then enriched for SSG nanoparticles.  Samples were labeled with 6-plex TMT then analyzed by LC-MS/MS"
PXD003544,enrichment,ed using SepPak C18 cartridge and followed by phosphotyrosine peptide enrichment using immunoaffinity purification with pY100 antibody. The enriched phosphopeptides were analyzed using a reverse-phase
PXD004983,enrichment,"repeat the R6K4 and R10K8 labelled cells were swapped. m7G sepharose enrichment of cap-binding proteins was performed using γ-Aminophenyl-m7GTP (AC-1555, Jena Bioscience) as described previously (Chu"
PXD006156,Affinity,Affinity purification of biotinylated proteins HeLa cells were transfected with plasmids encoding FLAG-BirA-RNF8 and AP-HA-Ub; 2
PXD006603,biotin,"led with 1 mM sodium meta-periodate + 10 mM aniline + 100 mM aminooxy-biotin + PBS (pH 6.7) under constant agitation in the dark (90, 4ºC). The reaction was quenched by addition of 1 mM glycerol ("
PXD006856,SCX,SCX enrichment of N-terminal peptides from Naa80 WT and KO cells was performed as described previously (PMID: 28315243). To
PXD008842,immunoprecipitated,C18 6-cc cartridges (Waters Corp.) and lyophilized. Samples were then immunoprecipitated using PTMScan Ubiquitin remnant Motif (K-ε-GG) Kit (Cell Signaling Technologies) according to manufacturer’s protocols.
PXD009281,affinity,h histone H4 were combined and directly lyophilized. SILAC nucleosome affinity purifications (SNAP) SILAC-labelled nuclear extracts were prepared from HeLa S3 cells as previously described in Bartke
PXD009375,fractionated,ins were digested by in-solution digestion protocol and peptides were fractionated to 3 SCX fractions via StageTip prior to LCMSMS analysis using Q Exactive HF mass spectrometer
PXD009777,fractionated,"0.1% formic acid and 0.1% formic acid in acetonitrile. Peptides were fractionated at a flow-rate of 0.250 mL/min at 50 °C under gradient elution conditions consisting of 2% B for 1 min, a linear increa"
PXD011999,immunoprecipitation,immunoprecipitation of tyrosine phosphoryation followed by IMAC and LCMS analysis
PXD012068,enriched,"alysis was performed overnight (PMID: 19377485). Phosphopeptides were enriched by metal oxide affinity enrichment using titanium dioxide (GL Sciences Inc., Tokyo, Japan) (PMID: 26633130)."
PXD012337,phospho,"Scientific). Labelled samples were pooled, and 95% was set aside for phospho-peptide enrichment using TiO2 (Titansphere Phos-TiO Bulk 10 um, GL Sciences) (Cantin et al. 2007). The remaining 5% of"
PXD012811,Immunoprecipitation,"lls were collected, washed with PBS and lysed in the IP lysis buffer. Immunoprecipitation assay was performed as described previously using Anti-Sirt2 (Sigma) for Sample C versus isotype control (Cell Signalin"
PXD013216,affinity,"-terminal GST-fusion in Sf9 insect cells. The protein was purified by affinity chromatography, followed by cleavage of the affinity tag using TEV protease. The protein was further purified by Q anio"
PXD013432,enrichment,"., Mann, M., and Ishihama, Y. (2007) Protocol for micro-purification, enrichment, pre-fractionation and storage of peptides for proteomics using StageTips, Nat Protoc 2, 1896-1906."
PXD013599,affinity,"entific). In detail, the cleared lysates were loaded 3 times into the affinity columns at 4°C, and subsequently washed at 4°C with 10 column volumes of 150 mM NaCl, 20 mM Tris•HCl, pH 8 (buffer A);"
PXD013685,affinity,nd 480AnkG-NN-GFP proteins were purified using Strep(II)-Strep-Tactin affinity purification. HEK293T cells were transfected with the constructs using polyethylenimine (PEI) and harvested 2 days post
PXD013836,HILIC,peptides were concentrated and stored at -20 °C for further use. ZIC-HILIC enrichment of intact N-glycopeptides. Intact N-glycopeptides were enriched using ZIC-HILIC (zwitterionic type of hydrop
PXD014164,streptavidin,"glycerol and 20 mM EDTA pH 8) and directly immobilized on 30-40 µl of streptavidin beads and extensively washed with the same buffer, as described above. The beads were rotated with 1 ml of a pre-cleare"
PXD014472,immunoprecipitated,l of Pierce Protein A/G beads for 1 hr at 4 C and Nxf3 proteins were immunoprecipitated by incubation with 40 μl Nxf3 antibody overnight at 4 C. 80 µl of Pierce A/G magnetic beads were the added to the lysa
PXD015234,enriched,"selected for proteomic analysis. Extracellular vesicles were isolated/enriched.  Protein from extracellular vesicle fraction or cell free vitreous fraction was denatured in 8M urea, and cysteines we"
PXD016385,biotinylated,"QIAquick gel extraction kit (QIAGEN, MD, USA). The purified DNAs were biotinylated by using DNA Polymerase I, Large (Klenow) Fragment (NEB, MA, USA), and were immobilized to Dynabeads M-280 Streptavidin"
PXD016919,immunoprecipitated,We immunoprecipitated the FLAG-tagged PER1 and CRY1 with anti-FLAG  from SD+ cultured primary hepatocytes treated with 250nM Torin1 for one h
PXD017347,Biotin,A + CH3 of the immunoglobulin IgG + V5 (tag virus epitope SV5) + BAP (Biotin Aceptor Peptide). The completely chimera protein has 36 kDa approximately and 3 sites of N-glycosylation on position 84
