category,agentic_field,multihuman_fleiss_kappa,multihuman_observed_agreement,multihuman_positive_prevalence,multihuman_items,multihuman_raters,single_vs_multi_cohen_kappa,single_vs_multi_items
biological,species,0.7411764705882352,0.9090909090909091,0.7727272727272727,11,2,0.1496062992125985,27
biological,tissue,0.7904761904761904,0.9090909090909091,0.3181818181818182,11,2,0.47353760445682447,27
biological,disease_state,0.5416666666666669,0.8181818181818182,0.2727272727272727,11,2,0.9243697478991596,27
biological,cell_type,0.08333333333333333,0.6363636363636364,0.2727272727272727,11,2,-0.09594095940959405,27
biological,cell_line,0.7411764705882352,0.9090909090909091,0.22727272727272727,11,2,0.696629213483146,27
biological,sex,1.0,1.0,0.2727272727272727,11,2,0.3349753694581276,27
biological,age,0.7411764705882352,0.9090909090909091,0.22727272727272727,11,2,0.7804878048780486,27
technical,acquisition_method,0.43589743589743585,0.7272727272727273,0.5909090909090909,11,2,0.7731092436974789,27
technical,instrument,,1.0,1.0,11,2,-0.03846153846153559,27
technical,labeling,0.6333333333333335,0.8181818181818182,0.45454545454545453,11,2,0.8516483516483516,27
technical,fragmentation_method,0.6333333333333334,0.8181818181818182,0.5454545454545454,11,2,0.5030674846625767,27
technical,cleavage_agent,-0.09999999999999892,0.8181818181818182,0.9090909090909091,11,2,0.45999999999999963,27
technical,enrichment_method,0.7904761904761904,0.9090909090909091,0.3181818181818182,11,2,0.5392491467576791,27
technical,reduction_reagent,0.7904761904761904,0.9090909090909091,0.6818181818181818,11,2,0.610951008645533,27
technical,alkylation_reagent,0.5416666666666669,0.8181818181818182,0.7272727272727273,11,2,0.6687116564417178,27
technical,collision_energy,-0.17857142857142858,0.45454545454545453,0.36363636363636365,11,2,0.41935483870967744,27
technical,mass_analyzer,0.6071428571428573,0.8181818181818182,0.36363636363636365,11,2,0.44897959183673475,27
technical,ptm,0.43589743589743585,0.7272727272727273,0.5909090909090909,11,2,0.5714285714285714,27
experimental_design,number_of_biological_replicates,0.22352941176470606,0.7272727272727273,0.22727272727272727,11,2,0.6009852216748764,27
experimental_design,number_of_technical_replicates,0.08333333333333333,0.6363636363636364,0.2727272727272727,11,2,0.7545454545454544,27
experimental_design,number_of_fractions,0.435897435897436,0.7272727272727273,0.4090909090909091,11,2,0.47933884297520646,27
experimental_design,factor_value,-0.31623931623931606,0.36363636363636365,0.4090909090909091,11,2,0.2372881355932204,27
experimental_design,biological_replicate,-0.047619047619050114,0.9090909090909091,0.045454545454545456,11,2,-2.9976021664879274e-15,27
experimental_design,technical_replicate,-0.09999999999999892,0.8181818181818182,0.09090909090909091,11,2,0.0,27
