source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006233-Sample-1	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C1_P_07.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-2	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C1_S_06.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-3	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C1_S_26.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-4	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C2_P_05.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-5	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C2_S_04.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-6	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C3_P_05.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-7	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C3_P_12.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-8	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C3_P_14.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-9	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C3_P_20.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-10	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C3_P_24.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-11	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C3_P_27.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-12	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_C3_S_20.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-13	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_D1_P_21.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-14	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_D1_P_23.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-15	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_D1_P_26.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-16	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_D1_P_29.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-17	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_D1_S_08.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-18	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_D1_S_19.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-19	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_D1_S_28.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
PXD006233-Sample-20	Homo sapiens	brain	ad + cvd, normal	12	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	diagnosis (AD + CVD, healthy age-matched control), fraction (soluble, particulate)	not available	7 ppm	17 ppm	orbitrap	BA21_D1_S_31.raw	v1.1.0	HAMLET-agentic v0.1.0	ad + cvd, normal
