field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	28	12	0	0.0	0.0	0.0
characteristics[disease]	Biological	28	0	0	0.0	0.0	0.0
characteristics[organism part]	Biological	28	28	0	0.0	0.0	0.0
characteristics[organism]	Biological	28	28	0	0.0	0.0	0.0
characteristics[sex]	Biological	28	12	12	0.42857142857142855	0.42857142857142855	0.42857142857142855
characteristics[biological replicate]	ExperimentalDesign	28	28	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	28	28	28	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	28	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	28	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	28	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	28	0	0.0	0.0	0.0
comment[dissociation method]	Technical	28	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	28	28	0	0.0	0.0	0.0
comment[instrument]	Technical	28	28	28	1.0	1.0	1.0
comment[label]	Technical	28	28	28	1.0	1.0	1.0
comment[ms2 mass analyzer]	Technical	28	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	28	28	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	28	0	0	0.0	0.0	0.0
technology type	Technical	28	0	0	0.0	0.0	0.0
