source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD024637-Sample-1	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Aorta.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-2	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Aorta.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-3	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Aorta.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-4	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Aorta.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-5	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Aorta.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-6	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Aorta.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-7	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Liver.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-8	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Liver.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-9	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Liver.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-10	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	not available	male	10-week-old, 12 weeks old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=iTRAQ8plex-116 reporter+balance reagent acylated residue;AC=MOD:01549;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	iodoacetamide	Orbitrap	30 of normalized collision energy	TMT2_Liver.raw	v1.1.0	HAMLET-agentic v2.2.5	atherosclerosis, abdominal aortic aneurysm
