sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state
1	PXD034074-Sample-1	source_name	source name	PXD034074-Sample-1	derived								legacy_derivation	derived
1	PXD034074-Sample-1	organism	characteristics[organism]	Mus musculus	biological_agent	HFD increased the expression of MDM2 in WAT, including eWAT and iWAT, not in BAT, compared to NCD (Figure 1).	AGREE	1.0	high	False	False		source_precedence:biological_agent	derived
1	PXD034074-Sample-1	organism_part	characteristics[organism part]	ewat, serum	biological_agent	we performed quantitative proteomics analysis in eWAT of Mdm2-AKI and control mice on HFD for 12 weeks through LC-MS/MS	LLM_ONLY	0.5	medium	False	False	eWAT, serum	source_precedence:biological_agent	derived
1	PXD034074-Sample-1	disease	characteristics[disease]	hfd	biological_agent	we performed quantitative proteomics analysis in eWAT of Mdm2-AKI and control mice on HFD for 12 weeks	LLM_ONLY	0.5					source_precedence:biological_agent	derived
1	PXD034074-Sample-1	cell_type	characteristics[cell type]	adipocytes	biological_agent	H&E staining showed that adipocytes were obviously and slightly hypertrophic in WAT and BAT of Mdm2-AKI mice on a NCD	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD034074-Sample-1	sex	characteristics[sex]	male	biological_agent	Unless otherwise noted, 8-week-old male mice were used for all experiment.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD034074-Sample-1	age	characteristics[age]	8-week-old	biological_agent	Unless otherwise noted, 8-week-old male mice were used for all experiment.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD034074-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived
1	PXD034074-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
1	PXD034074-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
1	PXD034074-Sample-1	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
1	PXD034074-Sample-1	instrument	comment[instrument]	NT=Q Exactive Plus;AC=MS:1002634	runassessor								source_precedence:runassessor	derived
1	PXD034074-Sample-1	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
1	PXD034074-Sample-1	dissociation	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422	runassessor								source_precedence:runassessor	derived
1	PXD034074-Sample-1	factor_value	factor value[experimental design]	genotype (Mdm2-AKI, control), diet (NCD, HFD)	experimental_design_agent	quantitative proteomics analysis in eWAT of Mdm2-AKI and control mice on HFD for 12 weeks	LLM_ONLY	0.5	medium	False	False	genotype (Mdm2-AKI, control), diet (NCD, HFD)	source_precedence:experimental_design_agent	derived
1	PXD034074-Sample-1	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
1	PXD034074-Sample-1	modification	comment[modification parameters]	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	derived								legacy_derivation	derived
1	PXD034074-Sample-1	modification	comment[modification parameters]	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	derived								legacy_derivation	derived
1	PXD034074-Sample-1	modification	comment[modification parameters]	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	derived								legacy_derivation	derived
1	PXD034074-Sample-1	precursor_tolerance	comment[precursor mass tolerance]	7 ppm	derived								legacy_derivation	derived
1	PXD034074-Sample-1	fragment_tolerance	comment[fragment mass tolerance]	9 ppm	derived								legacy_derivation	derived
1	PXD034074-Sample-1	reduction_reagent	comment[reduction reagent]	dithiothreitol	derived								legacy_derivation	derived
1	PXD034074-Sample-1	alkylation_reagent	comment[alkylation reagent]	iodoacetamide	derived								legacy_derivation	derived
1	PXD034074-Sample-1	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
1	PXD034074-Sample-1	data_file	comment[data file]	F9527LQB1_H_KI_E.raw	derived								legacy_derivation	derived
1	PXD034074-Sample-1	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
1	PXD034074-Sample-1	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
1	PXD034074-Sample-1	factor_disease	factor value[disease]	hfd	derived								legacy_derivation	derived
2	PXD034074-Sample-2	source_name	source name	PXD034074-Sample-2	derived								legacy_derivation	derived
2	PXD034074-Sample-2	organism	characteristics[organism]	Mus musculus	biological_agent	HFD increased the expression of MDM2 in WAT, including eWAT and iWAT, not in BAT, compared to NCD (Figure 1).	AGREE	1.0	high	False	False		source_precedence:biological_agent	derived
2	PXD034074-Sample-2	organism_part	characteristics[organism part]	ewat, serum	biological_agent	we performed quantitative proteomics analysis in eWAT of Mdm2-AKI and control mice on HFD for 12 weeks through LC-MS/MS	LLM_ONLY	0.5	medium	False	False	eWAT, serum	source_precedence:biological_agent	derived
2	PXD034074-Sample-2	disease	characteristics[disease]	hfd	biological_agent	we performed quantitative proteomics analysis in eWAT of Mdm2-AKI and control mice on HFD for 12 weeks	LLM_ONLY	0.5					source_precedence:biological_agent	derived
2	PXD034074-Sample-2	cell_type	characteristics[cell type]	adipocytes	biological_agent	H&E staining showed that adipocytes were obviously and slightly hypertrophic in WAT and BAT of Mdm2-AKI mice on a NCD	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
2	PXD034074-Sample-2	sex	characteristics[sex]	male	biological_agent	Unless otherwise noted, 8-week-old male mice were used for all experiment.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
2	PXD034074-Sample-2	age	characteristics[age]	8-week-old	biological_agent	Unless otherwise noted, 8-week-old male mice were used for all experiment.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
