source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD042575-Sample-1	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD042575-Sample-2	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD042575-Sample-3	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD042575-Sample-4	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD042575-Sample-5	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD042575-Sample-6	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD042575-Sample-7	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD042575-Sample-8	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD042575-Sample-9	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD042575-Sample-10	Homo sapiens, Rattus norvegicus, Sus scrofa, Canis familiaris	not available	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131N	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	kinase treatment (ERK, JNK, p38)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	7 ppm	9 ppm	dithiothreitol	iodoacetamide	orbitrap	JCP_100422_ACscrib_pSTY_cx43_kinase_assay_triplicate_12plex.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
