source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002266-Sample-1	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-01.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD002266-Sample-2	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-02.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD002266-Sample-3	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-03.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD002266-Sample-4	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-04.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD002266-Sample-5	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-05.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD002266-Sample-6	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-07.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD002266-Sample-7	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-10.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD002266-Sample-8	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-11.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD002266-Sample-9	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-12.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD002266-Sample-10	P. falciparum	blood	malaria	schizonts	3D7	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	10 p.p.m.	0.02 Da	orbitrap	130412_002_UL01429-LS-13.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
