field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell line]	Biological	5	5	0	0.0	0.0	0.0
characteristics[cell type]	Biological	5	5	5	1.0	1.0	1.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	5	5	0	0.0	0.0	0.0
characteristics[organism part]	Biological	5	5	0	0.0	0.0	0.0
characteristics[organism]	Biological	5	5	0	0.0	0.0	0.0
characteristics[sex]	Biological	0	5	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	5	5	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	5	5	5	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	5	5	5	1.0	1.0	1.0
factor value[disease]	ExperimentalDesign	5	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	5	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	5	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	5	5	5	1.0	1.0	1.0
comment[dissociation method]	Technical	5	0	0	0.0	0.0	0.0
comment[instrument]	Technical	5	5	0	0.0	0.0	0.0
comment[label]	Technical	5	5	0	0.0	0.0	0.0
comment[modification parameters]	Technical	15	0	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	5	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	5	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	5	0	0	0.0	0.0	0.0
technology type	Technical	5	5	5	1.0	1.0	1.0
